years,months,Site,ppt,tmean
1981,1,Haynes,4.840000153,-2.799999952
1981,2,Haynes,27.52000046,-1.725000024
1981,3,Haynes,23.18000031,2.340000153
1981,4,Haynes,30.45000076,5.634999752
1981,5,Haynes,92.79000092,9.649999619
1981,6,Haynes,48.90999985,13.38500023
1981,7,Haynes,8.539999962,18.78499985
1981,8,Haynes,6.489999771,20
1981,9,Haynes,14.27999973,14.02499962
1981,10,Haynes,17.42000008,5.699999809
1981,11,Haynes,37.11999893,0.809999943
1981,12,Haynes,43.45999908,-4.429999828
1982,1,Haynes,28.76000023,-7.595000267
1982,2,Haynes,17.96999931,-6.84499979
1982,3,Haynes,41.50999832,0.850000143
1982,4,Haynes,38.63000107,1.985000134
1982,5,Haynes,47.29000092,8.364999771
1982,6,Haynes,40.83000183,13.56000042
1982,7,Haynes,35.18000031,17.77000046
1982,8,Haynes,21.70999908,19.28499985
1982,9,Haynes,49.13000107,12.81499958
1982,10,Haynes,31.95000076,5.679999828
1982,11,Haynes,8.93999958,-2.809999943
1982,12,Haynes,40.29000092,-5.765000343
1983,1,Haynes,10.52999973,-3.269999981
1983,2,Haynes,15.77000046,-1.459999919
1983,3,Haynes,28.57999992,2.025000095
1983,4,Haynes,14.77999973,3.370000362
1983,5,Haynes,19.03000069,8.840000153
1983,6,Haynes,54.59000015,13.52999973
1983,7,Haynes,57.34000015,17.18499947
1983,8,Haynes,52.86000061,19.70499992
1983,9,Haynes,24.75,12.59000015
1983,10,Haynes,26.01000023,7.159999847
1983,11,Haynes,45.00999832,-0.665000081
1983,12,Haynes,31.61000061,-11.86000061
1984,1,Haynes,17.47999954,-7.545000076
1984,2,Haynes,11.55000019,-5.164999962
1984,3,Haynes,30.75,-0.09499979
1984,4,Haynes,46.02000046,3.679999828
1984,5,Haynes,52.54999924,8.650000572
1984,6,Haynes,82.93000031,12.56500053
1984,7,Haynes,34.54999924,18.86499977
1984,8,Haynes,31.79999924,18.88999939
1984,9,Haynes,22.07999992,11.44000053
1984,10,Haynes,21.97999954,4.570000172
1984,11,Haynes,29.28000069,-1.75
1984,12,Haynes,20.97999954,-9.800000191
1985,1,Haynes,14.56000042,-8.244999886
1985,2,Haynes,7.920000076,-9.440000534
1985,3,Haynes,22.53000069,-3.269999981
1985,4,Haynes,7.489999771,6.480000496
1985,5,Haynes,50.99000168,10.78999996
1985,6,Haynes,10.85000038,14.92499924
1985,7,Haynes,23.38999939,21.04999924
1985,8,Haynes,24.30999947,16.39999962
1985,9,Haynes,58.90000153,10.29500008
1985,10,Haynes,12.06999969,5.144999981
1985,11,Haynes,28.23999977,-5.760000229
1985,12,Haynes,12.14000034,-9.175000191
1986,1,Haynes,20.95000076,-4.615000248
1986,2,Haynes,57.65000153,-1.36500001
1986,3,Haynes,16.97999954,4.195000172
1986,4,Haynes,32.52000046,5.68500042
1986,5,Haynes,37.58000183,9.890000343
1986,6,Haynes,29.43000031,16.98999977
1986,7,Haynes,32.84999847,16.93499947
1986,8,Haynes,41.86000061,19.69499969
1986,9,Haynes,53.90000153,9.805000305
1986,10,Haynes,13.25,7.139999866
1986,11,Haynes,29.05999947,-0.660000086
1986,12,Haynes,7.079999924,-5.130000114
1987,1,Haynes,14.98999977,-6.269999981
1987,2,Haynes,14.88000011,-1.524999976
1987,3,Haynes,21.48999977,1.419999838
1987,4,Haynes,8.229999542,9.140000343
1987,5,Haynes,67.59999847,11.91499901
1987,6,Haynes,29.67000008,15.28499985
1987,7,Haynes,65.37000275,17.00499916
1987,8,Haynes,24.28000069,16.27499962
1987,9,Haynes,0.270000011,15.04999924
1987,10,Haynes,0.200000003,8.670000076
1987,11,Haynes,12.84000015,1.164999962
1987,12,Haynes,27.90999985,-5.149999619
1988,1,Haynes,20.68000031,-7.460000038
1988,2,Haynes,16.44000053,-2.189999819
1988,3,Haynes,18.28000069,0.565000057
1988,4,Haynes,44.02999878,6.664999962
1988,5,Haynes,48.68000031,10.17000008
1988,6,Haynes,24.38999939,17.27499962
1988,7,Haynes,1.350000024,20.37000084
1988,8,Haynes,11.30000019,18.17499924
1988,9,Haynes,6.079999924,12.52000046
1988,10,Haynes,5.769999981,10.39999962
1988,11,Haynes,50.22000122,-2.5
1988,12,Haynes,11.19999981,-7.325000286
1989,1,Haynes,28.27000046,-6.779999733
1989,2,Haynes,20.68000031,-8.600000381
1989,3,Haynes,34.47999954,0.110000134
1989,4,Haynes,8.770000458,6.070000172
1989,5,Haynes,38.61000061,8.825000763
1989,6,Haynes,21.72999954,14.20499992
1989,7,Haynes,19.12000084,20.11000061
1989,8,Haynes,38.29999924,16.94499969
1989,9,Haynes,16.55999947,12.65499973
1989,10,Haynes,26.79999924,6.140000343
1989,11,Haynes,11.89999962,0.029999971
1989,12,Haynes,16.75,-5.100000381
1990,1,Haynes,31.12000084,-4.539999962
1990,2,Haynes,3.900000095,-5.009999752
1990,3,Haynes,18.84000015,0.579999924
1990,4,Haynes,33.09000015,7.380000114
1990,5,Haynes,47.90000153,7.840000153
1990,6,Haynes,34.49000168,12.99500084
1990,7,Haynes,27.95000076,18.63999939
1990,8,Haynes,53.02000046,18.07999992
1990,9,Haynes,8.529999733,16.06000137
1990,10,Haynes,20.13999939,5.345000267
1990,11,Haynes,21.25,0.019999981
1990,12,Haynes,23.09000015,-11.72000027
1991,1,Haynes,13.60000038,-7.950000286
1991,2,Haynes,7.230000019,0.130000114
1991,3,Haynes,34.20000076,0.044999838
1991,4,Haynes,32.81000137,3.890000105
1991,5,Haynes,52.56999969,7.710000038
1991,6,Haynes,60.08000183,12.65499973
1991,7,Haynes,6.960000038,18.85499954
1991,8,Haynes,15.59000015,20.25
1991,9,Haynes,21.98999977,14.27000046
1991,10,Haynes,26.82999992,5.954999924
1991,11,Haynes,65.16000366,-3.315000057
1991,12,Haynes,16.71999931,-5.760000229
1992,1,Haynes,6.070000172,-5.565000057
1992,2,Haynes,15.57999992,-0.755000114
1992,3,Haynes,9.220000267,4.114999771
1992,4,Haynes,18.62999916,6.964999676
1992,5,Haynes,14.35999966,11.78999996
1992,6,Haynes,71.55999756,15.56000042
1992,7,Haynes,35.77999878,16.16500092
1992,8,Haynes,3.390000105,18.45999908
1992,9,Haynes,17.55999947,11.75
1992,10,Haynes,37.11999893,8.444999695
1992,11,Haynes,23.90999985,-3.575000048
1992,12,Haynes,35.77000046,-8.210000038
1993,1,Haynes,17.54999924,-9.760000229
1993,2,Haynes,13.98999977,-6.774999619
1993,3,Haynes,33.93000031,2.204999924
1993,4,Haynes,38.29000092,4.069999695
1993,5,Haynes,29.87999916,11.86499977
1993,6,Haynes,82.5,11.94000053
1993,7,Haynes,57.59999847,13.18499947
1993,8,Haynes,40.16999817,15.125
1993,9,Haynes,3.059999943,12.40499973
1993,10,Haynes,18.39999962,6.875
1993,11,Haynes,9.239999771,-3.964999676
1993,12,Haynes,13.39999962,-5.940000057
1994,1,Haynes,24.39999962,-3.859999895
1994,2,Haynes,33.15000153,-5.480000019
1994,3,Haynes,6.989999771,1.679999828
1994,4,Haynes,25.98999977,6.444999695
1994,5,Haynes,42.11999893,11.33500004
