"Year","Month","SpeciesAuthor","MatrixPopulation","tmp","ppt","Lon","Lat"
1981,1,"Silene_spaldingii","Eureka",-2.17000007629395,33.4300003051758,-115.05,48.9666666666667
1981,2,"Silene_spaldingii","Eureka",-0.820000052452087,38.2000007629395,-115.05,48.9666666666667
1981,3,"Silene_spaldingii","Eureka",3.27999997138977,22.25,-115.05,48.9666666666667
1981,4,"Silene_spaldingii","Eureka",6.59999990463257,36.810001373291,-115.05,48.9666666666667
1981,5,"Silene_spaldingii","Eureka",11.2649993896484,88.8199996948242,-115.05,48.9666666666667
1981,6,"Silene_spaldingii","Eureka",11.9050006866455,131.899993896484,-115.05,48.9666666666667
1981,7,"Silene_spaldingii","Eureka",16.7749996185303,54.6699981689453,-115.05,48.9666666666667
1981,8,"Silene_spaldingii","Eureka",19.9099998474121,11.1700000762939,-115.05,48.9666666666667
1981,9,"Silene_spaldingii","Eureka",12.9249992370605,31.7800006866455,-115.05,48.9666666666667
1981,10,"Silene_spaldingii","Eureka",5.90499973297119,13.3400001525879,-115.05,48.9666666666667
1981,11,"Silene_spaldingii","Eureka",2.31500005722046,39.0699996948242,-115.05,48.9666666666667
1981,12,"Silene_spaldingii","Eureka",-3.92499995231628,44.5200004577637,-115.05,48.9666666666667
1982,1,"Silene_spaldingii","Eureka",-7.49499988555908,67.1100006103516,-115.05,48.9666666666667
1982,2,"Silene_spaldingii","Eureka",-3.7649998664856,87.9800033569336,-115.05,48.9666666666667
1982,3,"Silene_spaldingii","Eureka",2.8600001335144,40.060001373291,-115.05,48.9666666666667
1982,4,"Silene_spaldingii","Eureka",4.24000024795532,51.310001373291,-115.05,48.9666666666667
1982,5,"Silene_spaldingii","Eureka",10.125,34.2999992370605,-115.05,48.9666666666667
1982,6,"Silene_spaldingii","Eureka",15.7299995422363,76.0999984741211,-115.05,48.9666666666667
1982,7,"Silene_spaldingii","Eureka",16.5249996185303,64.370002746582,-115.05,48.9666666666667
1982,8,"Silene_spaldingii","Eureka",18.5100002288818,20.6200008392334,-115.05,48.9666666666667
1982,9,"Silene_spaldingii","Eureka",12.7399997711182,54.1199989318848,-115.05,48.9666666666667
1982,10,"Silene_spaldingii","Eureka",6.15999984741211,18.4699993133545,-115.05,48.9666666666667
1982,11,"Silene_spaldingii","Eureka",-1.55499994754791,41.7700004577637,-115.05,48.9666666666667
1982,12,"Silene_spaldingii","Eureka",-4.78499984741211,53.5200004577637,-115.05,48.9666666666667
1983,1,"Silene_spaldingii","Eureka",-0.694999933242798,38.5999984741211,-115.05,48.9666666666667
1983,2,"Silene_spaldingii","Eureka",1.26999998092651,24.7700004577637,-115.05,48.9666666666667
1983,3,"Silene_spaldingii","Eureka",3.99000000953674,48.0499992370605,-115.05,48.9666666666667
1983,4,"Silene_spaldingii","Eureka",6.55499982833862,51.9300003051758,-115.05,48.9666666666667
1983,5,"Silene_spaldingii","Eureka",11.9750003814697,20.3400001525879,-115.05,48.9666666666667
1983,6,"Silene_spaldingii","Eureka",14.0299997329712,74.4800033569336,-115.05,48.9666666666667
1983,7,"Silene_spaldingii","Eureka",16.3299999237061,90.7300033569336,-115.05,48.9666666666667
1983,8,"Silene_spaldingii","Eureka",19.1700000762939,34.5900001525879,-115.05,48.9666666666667
1983,9,"Silene_spaldingii","Eureka",10.8699998855591,19.3600006103516,-115.05,48.9666666666667
1983,10,"Silene_spaldingii","Eureka",6.58500003814697,20.3500003814697,-115.05,48.9666666666667
1983,11,"Silene_spaldingii","Eureka",2.51999998092651,65.9199981689453,-115.05,48.9666666666667
1983,12,"Silene_spaldingii","Eureka",-12.1800003051758,30.7099990844727,-115.05,48.9666666666667
1984,1,"Silene_spaldingii","Eureka",-2.77999997138977,20.6900005340576,-115.05,48.9666666666667
1984,2,"Silene_spaldingii","Eureka",0.700000047683716,9,-115.05,48.9666666666667
1984,3,"Silene_spaldingii","Eureka",4.03999996185303,28.3999996185303,-115.05,48.9666666666667
1984,4,"Silene_spaldingii","Eureka",6.51999998092651,32.75,-115.05,48.9666666666667
1984,5,"Silene_spaldingii","Eureka",9.22500038146973,75.6100006103516,-115.05,48.9666666666667
1984,6,"Silene_spaldingii","Eureka",13.6100006103516,81.9100036621094,-115.05,48.9666666666667
1984,7,"Silene_spaldingii","Eureka",18.8050003051758,15.4200000762939,-115.05,48.9666666666667
1984,8,"Silene_spaldingii","Eureka",19.0949993133545,24.6800003051758,-115.05,48.9666666666667
1984,9,"Silene_spaldingii","Eureka",10.6350002288818,50.7400016784668,-115.05,48.9666666666667
1984,10,"Silene_spaldingii","Eureka",4.50999975204468,54.6100006103516,-115.05,48.9666666666667
1984,11,"Silene_spaldingii","Eureka",-0.105000019073486,47.2700004577637,-115.05,48.9666666666667
1984,12,"Silene_spaldingii","Eureka",-7.56999969482422,44.1100006103516,-115.05,48.9666666666667
1985,1,"Silene_spaldingii","Eureka",-7.74499988555908,3.08999991416931,-115.05,48.9666666666667
1985,2,"Silene_spaldingii","Eureka",-6.14000034332275,28.2299995422363,-115.05,48.9666666666667
1985,3,"Silene_spaldingii","Eureka",1.17000007629395,12.9399995803833,-115.05,48.9666666666667
1985,4,"Silene_spaldingii","Eureka",7.30499982833862,19.4799995422363,-115.05,48.9666666666667
1985,5,"Silene_spaldingii","Eureka",12.9150009155273,43.939998626709,-115.05,48.9666666666667
1985,6,"Silene_spaldingii","Eureka",14.4650001525879,61.5099983215332,-115.05,48.9666666666667
1985,7,"Silene_spaldingii","Eureka",21.4799995422363,6.6399998664856,-115.05,48.9666666666667
1985,8,"Silene_spaldingii","Eureka",16.875,29.1000003814697,-115.05,48.9666666666667
1985,9,"Silene_spaldingii","Eureka",10.1149997711182,109.129997253418,-115.05,48.9666666666667
1985,10,"Silene_spaldingii","Eureka",4.89499998092651,57.2799987792969,-115.05,48.9666666666667
1985,11,"Silene_spaldingii","Eureka",-8.65999984741211,52.4700012207031,-115.05,48.9666666666667
1985,12,"Silene_spaldingii","Eureka",-7.09000015258789,11.9399995803833,-115.05,48.9666666666667
1986,1,"Silene_spaldingii","Eureka",-2.17500019073486,58.4799995422363,-115.05,48.9666666666667
1986,2,"Silene_spaldingii","Eureka",-4.25499963760376,58.9000015258789,-115.05,48.9666666666667
1986,3,"Silene_spaldingii","Eureka",5.5149998664856,24.4599990844727,-115.05,48.9666666666667
1986,4,"Silene_spaldingii","Eureka",6.80499982833862,27.6100006103516,-115.05,48.9666666666667
1986,5,"Silene_spaldingii","Eureka",11.875,70.879997253418,-115.05,48.9666666666667
1986,6,"Silene_spaldingii","Eureka",17.7950000762939,74.1399993896484,-115.05,48.9666666666667
1986,7,"Silene_spaldingii","Eureka",16.0149993896484,56.0800018310547,-115.05,48.9666666666667
1986,8,"Silene_spaldingii","Eureka",19.5349998474121,20.1200008392334,-115.05,48.9666666666667
1986,9,"Silene_spaldingii","Eureka",10.164999961853,60.9700012207031,-115.05,48.9666666666667
1986,10,"Silene_spaldingii","Eureka",6.84500026702881,14.5699996948242,-115.05,48.9666666666667
1986,11,"Silene_spaldingii","Eureka",-1.03500008583069,58.4799995422363,-115.05,48.9666666666667
1986,12,"Silene_spaldingii","Eureka",-3.45499992370605,10.3000001907349,-115.05,48.9666666666667
1987,1,"Silene_spaldingii","Eureka",-4.36999988555908,15.8400001525879,-115.05,48.9666666666667
1987,2,"Silene_spaldingii","Eureka",-0.715000152587891,26.7600002288818,-115.05,48.9666666666667
1987,3,"Silene_spaldingii","Eureka",2.96999979019165,52.5299987792969,-115.05,48.9666666666667
1987,4,"Silene_spaldingii","Eureka",9.33500003814697,20.8700008392334,-115.05,48.9666666666667
1987,5,"Silene_spaldingii","Eureka",13.2049999237061,47.9199981689453,-115.05,48.9666666666667
1987,6,"Silene_spaldingii","Eureka",17.2000007629395,46.25,-115.05,48.9666666666667
1987,7,"Silene_spaldingii","Eureka",18.6100006103516,98.9599990844727,-115.05,48.9666666666667
1987,8,"Silene_spaldingii","Eureka",16.6749992370605,42.9000015258789,-115.05,48.9666666666667
1987,9,"Silene_spaldingii","Eureka",14.8450002670288,11.460000038147,-115.05,48.9666666666667
1987,10,"Silene_spaldingii","Eureka",6.96500015258789,4.26999998092651,-115.05,48.9666666666667
1987,11,"Silene_spaldingii","Eureka",2.1800000667572,12.9399995803833,-115.05,48.9666666666667
1987,12,"Silene_spaldingii","Eureka",-4.25500011444092,47.0999984741211,-115.05,48.9666666666667
1988,1,"Silene_spaldingii","Eureka",-7.30000019073486,29.8500003814697,-115.05,48.9666666666667
1988,2,"Silene_spaldingii","Eureka",-1.02999997138977,16.3600006103516,-115.05,48.9666666666667
1988,3,"Silene_spaldingii","Eureka",3.65999984741211,33.9500007629395,-115.05,48.9666666666667
