SpeciesAuthor,MatrixComposite,MatrixPopulation,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
Paeonia_officinalis,Pooled,Open habitat,prop,Seed bank 1,1,206
Paeonia_officinalis,Pooled,Open habitat,prop,Seed bank 2,2,40
Paeonia_officinalis,Pooled,Open habitat,active,Samll vegetative plants (a single leaf; no stem),3,78
Paeonia_officinalis,Pooled,Open habitat,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,66
Paeonia_officinalis,Pooled,Open habitat,active,Redroductive plants (flowering),5,253
Paeonia_officinalis,Pooled,Woodland,prop,Seed bank 1,1,458
Paeonia_officinalis,Pooled,Woodland,prop,Seed bank 2,2,7
Paeonia_officinalis,Pooled,Woodland,active,Samll vegetative plants (a single leaf; no stem),3,156
Paeonia_officinalis,Pooled,Woodland,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,343
Paeonia_officinalis,Pooled,Woodland,active,Redroductive plants (flowering),5,41
