Authors,Journal,YearPublication,DOI_ISBN,AdditionalSource,match_doi,match_author_journal_year,match_first_author_year,matched_latest,match_manual_support_link,matched_concordance
Andrello,PhD thesis,2010,NA,Andrello Dracocephalum austriacum 2012; Andrello Cons Biol 2012b,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Auestad; Rydgren; Jongejans; Kroon,Biol Cons,2010,10.1016/j.biocon.2009.12.037,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Bermingham,Plant Ecol,2010,10.1007/s11258-010-9762-5,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Dangremond; Knight,Ecology,2010,10.1890/09-0418.1,Dangremond et al. ESA 2008 (PDF),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Oecologia,2010,10.1007/s00442-010-1637-x,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flores-Martinez; Manzanero-Medino; Golubov; Montaña; Mandujano,Plant Ecol,2010,10.1007/s11258-010-9737-6,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Gaoue; Ticktin,Cons Biol,2010,10.1111/j.1523-1739.2009.01345.x,Gaoue PhD thesis  2008.pdf,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
García; Goñi; Guzman,Cons Biol,2010,10.1111/j.1523-1739.2010.01466.x,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Jacquemyns; Brys; Jongejans,Ecology,2010,10.1890/08-2321.1,Jacquemyn Ecol 2010 A2.html; Jacquemyn J Ecol 2010,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Jongejans; Jorritsma-Wienk; Becker; Dostál; Mildén,J Ecol,2010,10.1111/j.1365-2745.2009.01612.x,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Law; Salick; Knight,Plant Ecol,2010,10.1007/s11258-010-9761-6,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Loayza; Knight,Ecology,2010,10.1890/09-0480.1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Mayberry; Elle,Oecologia,2010,10.1007/s00442-010-1809-8,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Noel; Maurice; Mignot; Glémin; Carbonell; Justy; Guyot; Olivieri; Petit,Cons Genet,2010,10.1007/s10592-010-0056-1,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Picard; Mortier; Chagneau,Ecol Model,2010,10.1016/j.ecolmodel.2010.06.010,Picard Ecol Model 2010 (PDF),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Plank,MSc thesis,2010,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Portela; Bruna; dos Santos,Biodivers Conserv,2010,10.1007/s10531-010-9846-5,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sampaio; Scariot,J Trop Ecol,2010,10.1017/S0266467409990599,Portela Biodiv; Cons 2010 (PDF),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Sletvold; Øien; Moen,Biol Cons,2010,10.1016/j.biocon.2009.12.017,Sletvold GCB 2013,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Squires,PhD thesis,2010,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Sánchez-Velásquez; Pineda-López,Popul Ecol,2010,10.1007/s10144-009-0161-5,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Toräng; Ehrlén; Ågren,Oecologia,2010,10.1007/s00442-009-1552-1,Toräng Oecologia 2010 Appendix,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Zepeda Martinez,thesis,2010,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Bravo Espinoza,PhD thesis,2011,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Bullock; White; Prudhomme; Tansey; Perea; Hooftman,J Ecol,2011,10.1111/j.1365-2745.2011.01910.x,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Carrillo Angeles,PhD thesis,2011,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Csergő; Molnár; Garcia,Popul Ecol,2011,10.1007/s10144-010-0249-y,Csergo Popul Ecol 2011 Stage structure.xls; Csergo Popul Ecol 2011 Transition matrices.xls,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Dominguez Lozano; Moreno Saiz; Schwartz,J Nat Cons,2011,10.1016/j.jnc.2011.05.005,Iriondo Book 2009,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Plant Ecol,2011,10.1007/s11258-011-9906-2,Evju Plant Ecol 2011 Appendix,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Ferrer; Duran; Méndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Jakalaniemi,Env and Exp Bot,2011,10.1016/j.envexpbot.2011.03.013,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Lázaro-Zermeño; González-Espinosa; Mendoza; Martinez-Ramos; Quintana-Ascencio,Forest Ecol Manag,2011,10.1016/j.foreco.2010.10.028,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Maloney; Vogler; Eckert; Jensen; Neale,Forest Ecol Manag,2011,10.1016/j.foreco.2011.05.011,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Navarro; Galeano; Bernal,Trop Cons Sci,2011,NA,Warren PhD thesis 2008,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Norghauer; Newbery,Ecol Monog,2011,10.1890/10-2268.1,Norghauer Ecol Monog 2011 Appendix L.htm,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Ream,PhD thesis,2011,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Tendland,MSc thesis,2011,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Thorpe; Stanley; Kayne; Latham,Report,2011,NA,Ellis Ecol 2012; Crone Cons Biol 2013,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Álvarez-Yépiz; Dovčiak; Búrquez,Biol Cons,2011,10.1016/j.biocon.2010.08.007,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Andrello; Bizoux; Barbet-Massin; Gaudeul; Nicolè; Till-Bottraud,Biol Cons,2012,10.1016/j.biocon.2011.12.012,Andrello Biol Cons 2012.xls; Tymen Independent Project 2008 (PDF),TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Ellis,Ecology,2012,10.1890/11-1052.1,Crone Cons Biol 2013,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,Bell Book 2003.pdf,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Evans; Davis; Raghu; Ragavendran; Landis; Schemske,Ecol Appl,2012,10.1890/11-1291.1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Groenendijk; Eshete; Sterck; Zuidema; Bongers,J Appl Ecol,2012,10.1111/j.1365-2664.2011.02078.x,MSc thesis 2010,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Lopez Flores,MSc thesis,2012,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Martin; Meinke,Popul Ecol,2012,10.1007/s10144-012-0318-5,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Morales-Romero; Godinez-Alvarez; Campo-Alves; Molino-Freaner,J Arid Env,2012,10.1016/j.jaridenv.2011.09.005,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Pisanu; Farris; Filigheddu; Begona Garcia,Plant Ecol,2012,10.1007/s11258-012-0110-9,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Rodriguez-Perez; Traveset,Oikos,2012,10.1111/j.1600-0706.2011.19946.x,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Scanga; Leopold,Biol Cons,2012,10.1016/j.biocon.2012.01.061,Scanga Biol Cons 2012 Appendix.doc; Scanga Plant Ecol 2014,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Ticktin; Ganesan; Paramesha; Setty,J Appl Ecol,2012,10.1111/j.1365-2664.2012.02156.x,Ellis Ecol 2012; Crone Cons Biol 2013; Ticktin J Appl Ecol 2014,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Wall; Hoffmann; Wentworth; Gray; Hohmann,Plant Ecol,2012,10.1007/s11258-012-0068-7,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Wallin; Svensson,Folia Geobot,2012,10.1007/s12224-012-9123-3,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Andrieu; Freville; Besnord; Vaudey; Gauthier; Thompson; Debussche,Popul Ecol,2013,10.1007/s10144-012-0346-1,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Bell; Powell; Bowles,J Wild Manag,2013,10.1002/jwmg.525,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Burns; Pardini; Schutzenhofer; Chung; Seidler; Knight,Ecology,2013,10.1890/12-1310.1,Burns Ecol 2013 – Pers. comm.,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Dias Segura,MSc thesis,2013,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Dostálek; Münzbergova,Folia Geobot,2013,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Gornish,PhD thesis,2013,NA,Gornish AoB Plants Adv Adc 2013,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
López-Mata,Acta Oeco,2013,10.1016/j.actao.2013.02.010,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Maines; Knochel; Seastedt,Ecosphere,2013,10.1890/ES13-00094.1,Maines Master Thesis 2013,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Matlaga; Davis,J Appl Ecol,2013,10.1111/1365-2664.12057,Matlaga J Appl Ecol 2013 Appendix,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Münzbergová,Plant Biology,2013,10.1111/plb.12007,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Münzbergová; Hadincová; Wild; Kindlmannová,PLoS ONE,2013,10.1371/journal.pone.0056953,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
