SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,N
Saponaria_bellidifolia,Pinet,2004,Seedling,20
Saponaria_bellidifolia,Pinet,2004,Vegetative 1,13
Saponaria_bellidifolia,Pinet,2004,Vegetative 2,11
Saponaria_bellidifolia,Pinet,2004,Reproductive,66
Saponaria_bellidifolia,Pinet,2005,Seedling,8
Saponaria_bellidifolia,Pinet,2005,Vegetative 1,24
Saponaria_bellidifolia,Pinet,2005,Vegetative 2,7
Saponaria_bellidifolia,Pinet,2005,Reproductive,60
Saponaria_bellidifolia,Pinet,2006,Seedling,4
Saponaria_bellidifolia,Pinet,2006,Vegetative 1,22
Saponaria_bellidifolia,Pinet,2006,Vegetative 2,14
Saponaria_bellidifolia,Pinet,2006,Reproductive,56
Saponaria_bellidifolia,Pinet,2007,Seedling,4
Saponaria_bellidifolia,Pinet,2007,Vegetative 1,22
Saponaria_bellidifolia,Pinet,2007,Vegetative 2,35
Saponaria_bellidifolia,Pinet,2007,Reproductive,35
Saponaria_bellidifolia,Cheile Posegii,2005,Seedling,3
Saponaria_bellidifolia,Cheile Posegii,2005,Vegetative 1,16
Saponaria_bellidifolia,Cheile Posegii,2005,Vegetative 2,5
Saponaria_bellidifolia,Cheile Posegii,2005,Reproductive,76
Saponaria_bellidifolia,Cheile Posegii,2006,Seedling,41
Saponaria_bellidifolia,Cheile Posegii,2006,Vegetative 1,32
Saponaria_bellidifolia,Cheile Posegii,2006,Vegetative 2,6
Saponaria_bellidifolia,Cheile Posegii,2006,Reproductive,62
Saponaria_bellidifolia,Cheile Posegii,2007,Seedling,26
Saponaria_bellidifolia,Cheile Posegii,2007,Vegetative 1,42
Saponaria_bellidifolia,Cheile Posegii,2007,Vegetative 2,22
Saponaria_bellidifolia,Cheile Posegii,2007,Reproductive,32
Saponaria_bellidifolia,Piatra Urdasului,2004,Seedling,0
Saponaria_bellidifolia,Piatra Urdasului,2004,Vegetative 1,5
Saponaria_bellidifolia,Piatra Urdasului,2004,Vegetative 2,6
Saponaria_bellidifolia,Piatra Urdasului,2004,Reproductive,17
Saponaria_bellidifolia,Piatra Urdasului,2005,Seedling,17
Saponaria_bellidifolia,Piatra Urdasului,2005,Vegetative 1,10
Saponaria_bellidifolia,Piatra Urdasului,2005,Vegetative 2,3
Saponaria_bellidifolia,Piatra Urdasului,2005,Reproductive,34
Saponaria_bellidifolia,Piatra Urdasului,2006,Seedling,11
Saponaria_bellidifolia,Piatra Urdasului,2006,Vegetative 1,9
Saponaria_bellidifolia,Piatra Urdasului,2006,Vegetative 2,13
Saponaria_bellidifolia,Piatra Urdasului,2006,Reproductive,18
Saponaria_bellidifolia,Dealul Vidolm,2004,Seedling,6
Saponaria_bellidifolia,Dealul Vidolm,2004,Vegetative 1,18
Saponaria_bellidifolia,Dealul Vidolm,2004,Vegetative 2,12
Saponaria_bellidifolia,Dealul Vidolm,2004,Reproductive,49
Saponaria_bellidifolia,Dealul Vidolm,2005,Seedling,2
Saponaria_bellidifolia,Dealul Vidolm,2005,Vegetative 1,16
Saponaria_bellidifolia,Dealul Vidolm,2005,Vegetative 2,6
Saponaria_bellidifolia,Dealul Vidolm,2005,Reproductive,66
Saponaria_bellidifolia,Dealul Vidolm,2006,Seedling,1
Saponaria_bellidifolia,Dealul Vidolm,2006,Vegetative 1,21
Saponaria_bellidifolia,Dealul Vidolm,2006,Vegetative 2,21
Saponaria_bellidifolia,Dealul Vidolm,2006,Reproductive,40
Saponaria_bellidifolia,Dealul Vidolm,2007,Seedling,0
Saponaria_bellidifolia,Dealul Vidolm,2007,Vegetative 1,28
Saponaria_bellidifolia,Dealul Vidolm,2007,Vegetative 2,22
Saponaria_bellidifolia,Dealul Vidolm,2007,Reproductive,30
