SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,N
Saussurea_medusa,Medusa I,2002,Small vegetative,9
Saussurea_medusa,Medusa I,2002,Medium vegetative,40
Saussurea_medusa,Medusa I,2002,Large vegetative,41
Saussurea_medusa,Medusa I,2002,Pre-flowering,7
Saussurea_medusa,Medusa I,2002,Flowering,NA
Saussurea_medusa,Medusa I,2003,Small vegetative,19
Saussurea_medusa,Medusa I,2003,Medium vegetative,63
Saussurea_medusa,Medusa I,2003,Large vegetative,55
Saussurea_medusa,Medusa I,2003,Pre-flowering,4
Saussurea_medusa,Medusa I,2003,Flowering,NA
Saussurea_medusa,Medusa I,2004,Small vegetative,66
Saussurea_medusa,Medusa I,2004,Medium vegetative,91
Saussurea_medusa,Medusa I,2004,Large vegetative,74
Saussurea_medusa,Medusa I,2004,Pre-flowering,12
Saussurea_medusa,Medusa I,2004,Flowering,NA
Saussurea_medusa,Medusa I,2005,Small vegetative,41
Saussurea_medusa,Medusa I,2005,Medium vegetative,67
Saussurea_medusa,Medusa I,2005,Large vegetative,76
Saussurea_medusa,Medusa I,2005,Pre-flowering,12
Saussurea_medusa,Medusa I,2005,Flowering,NA
