SpeciesAuthor,MatrixPopulation,MatrixComposite,Observation,MatrixStartYear,MatrixClassAuthor,MatrixClassNumber,N
Trollius_europaeus,HAS; JAG,Pooled,Pooled by habitat and year,2007,Seedling,1,6
Trollius_europaeus,HAS; JAG,Pooled,Pooled by habitat and year,2007,Small vegetative individual,2,22
Trollius_europaeus,HAS; JAG,Pooled,Pooled by habitat and year,2007,Large vegetative individual,3,227
Trollius_europaeus,HAS; JAG,Pooled,Pooled by habitat and year,2007,Small reproductive adult,4,2
Trollius_europaeus,HAS; JAG,Pooled,Pooled by habitat and year,2007,Medium sized reproductive adult,5,1
Trollius_europaeus,HAS; JAG,Pooled,Pooled by habitat and year,2007,Large reproductive adult,6,0
Trollius_europaeus,RDGm; GTH; SPW; NEV,Pooled,Pooled by habitat and year,2006,Seedling,1,3219
Trollius_europaeus,RDGm; GTH; SPW; NEV,Pooled,Pooled by habitat and year,2006,Small vegetative individual,2,420
Trollius_europaeus,RDGm; GTH; SPW; NEV,Pooled,Pooled by habitat and year,2006,Large vegetative individual,3,325
Trollius_europaeus,RDGm; GTH; SPW; NEV,Pooled,Pooled by habitat and year,2006,Small reproductive adult,4,351
Trollius_europaeus,RDGm; GTH; SPW; NEV,Pooled,Pooled by habitat and year,2006,Medium sized reproductive adult,5,224
Trollius_europaeus,RDGm; GTH; SPW; NEV,Pooled,Pooled by habitat and year,2006,Large reproductive adult,6,88
Trollius_europaeus,RDGab; JAGab,Pooled,Pooled by habitat and year,2006,Seedling,1,131
Trollius_europaeus,RDGab; JAGab,Pooled,Pooled by habitat and year,2006,Small vegetative individual,2,37
Trollius_europaeus,RDGab; JAGab,Pooled,Pooled by habitat and year,2006,Large vegetative individual,3,133
Trollius_europaeus,RDGab; JAGab,Pooled,Pooled by habitat and year,2006,Small reproductive adult,4,74
Trollius_europaeus,RDGab; JAGab,Pooled,Pooled by habitat and year,2006,Medium sized reproductive adult,5,83
Trollius_europaeus,RDGab; JAGab,Pooled,Pooled by habitat and year,2006,Large reproductive adult,6,65
