DOI.ISBN,MatrixComposite,MatrixTreatment,MatrixStartYear,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
10.1007/s11258-010-9737-6,Individual,Unmanipulated,1999,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Unmanipulated,1999,active,C2: Juveniles (0.1-2 cm),2,110
10.1007/s11258-010-9737-6,Individual,Unmanipulated,1999,active,C3: Young adults (2.1-4 cm),3,217
10.1007/s11258-010-9737-6,Individual,Unmanipulated,1999,active,C4: Mature adults (4.1-6cm),4,104
10.1007/s11258-010-9737-6,Individual,Unmanipulated,1999,active,C5: Old adults (> 6.1 cm),5,45
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2000,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2000,active,C2: Juveniles (0.1-2 cm),2,26
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2000,active,C3: Young adults (2.1-4 cm),3,135
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2000,active,C4: Mature adults (4.1-6cm),4,132
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2000,active,C5: Old adults (> 6.1 cm),5,74
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2001,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2001,active,C2: Juveniles (0.1-2 cm),2,32
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2001,active,C3: Young adults (2.1-4 cm),3,138
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2001,active,C4: Mature adults (4.1-6cm),4,97
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2001,active,C5: Old adults (> 6.1 cm),5,49
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2002,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2002,active,C2: Juveniles (0.1-2 cm),2,22
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2002,active,C3: Young adults (2.1-4 cm),3,108
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2002,active,C4: Mature adults (4.1-6cm),4,95
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2002,active,C5: Old adults (> 6.1 cm),5,47
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2003,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2003,active,C2: Juveniles (0.1-2 cm),2,6
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2003,active,C3: Young adults (2.1-4 cm),3,75
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2003,active,C4: Mature adults (4.1-6cm),4,95
10.1007/s11258-010-9737-6,Individual,Unmanipulated,2003,active,C5: Old adults (> 6.1 cm),5,70
10.1007/s11258-010-9737-6,Individual,Disturbed,1999,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Disturbed,1999,active,C2: Juveniles (0.1-2 cm),2,57
10.1007/s11258-010-9737-6,Individual,Disturbed,1999,active,C3: Young adults (2.1-4 cm),3,78
10.1007/s11258-010-9737-6,Individual,Disturbed,1999,active,C4: Mature adults (4.1-6cm),4,37
10.1007/s11258-010-9737-6,Individual,Disturbed,1999,active,C5: Old adults (> 6.1 cm),5,25
10.1007/s11258-010-9737-6,Individual,Disturbed,2000,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Disturbed,2000,active,C2: Juveniles (0.1-2 cm),2,16
10.1007/s11258-010-9737-6,Individual,Disturbed,2000,active,C3: Young adults (2.1-4 cm),3,64
10.1007/s11258-010-9737-6,Individual,Disturbed,2000,active,C4: Mature adults (4.1-6cm),4,47
10.1007/s11258-010-9737-6,Individual,Disturbed,2000,active,C5: Old adults (> 6.1 cm),5,28
10.1007/s11258-010-9737-6,Individual,Disturbed,2001,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Disturbed,2001,active,C2: Juveniles (0.1-2 cm),2,20
10.1007/s11258-010-9737-6,Individual,Disturbed,2001,active,C3: Young adults (2.1-4 cm),3,62
10.1007/s11258-010-9737-6,Individual,Disturbed,2001,active,C4: Mature adults (4.1-6cm),4,23
10.1007/s11258-010-9737-6,Individual,Disturbed,2001,active,C5: Old adults (> 6.1 cm),5,17
10.1007/s11258-010-9737-6,Individual,Disturbed,2002,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Disturbed,2002,active,C2: Juveniles (0.1-2 cm),2,10
10.1007/s11258-010-9737-6,Individual,Disturbed,2002,active,C3: Young adults (2.1-4 cm),3,34
10.1007/s11258-010-9737-6,Individual,Disturbed,2002,active,C4: Mature adults (4.1-6cm),4,35
10.1007/s11258-010-9737-6,Individual,Disturbed,2002,active,C5: Old adults (> 6.1 cm),5,15
10.1007/s11258-010-9737-6,Individual,Disturbed,2003,active,C1: Seedlings,1,NA
10.1007/s11258-010-9737-6,Individual,Disturbed,2003,active,C2: Juveniles (0.1-2 cm),2,5
10.1007/s11258-010-9737-6,Individual,Disturbed,2003,active,C3: Young adults (2.1-4 cm),3,17
10.1007/s11258-010-9737-6,Individual,Disturbed,2003,active,C4: Mature adults (4.1-6cm),4,32
10.1007/s11258-010-9737-6,Individual,Disturbed,2003,active,C5: Old adults (> 6.1 cm),5,18
