Label,X,Y,year,stage,population,scaled,N_tot,N
10592_2010_56_Fig4_HTML.gif,0.115,1.083,NA,0,Teghime,NA,NA,NA
10592_2010_56_Fig4_HTML.gif,0.156,0.875,2000,1,Teghime,0.208,199,41.392
10592_2010_56_Fig4_HTML.gif,0.306,0.875,2001,1,Teghime,0.208,252,52.416
10592_2010_56_Fig4_HTML.gif,0.46,0.938,2002,1,Teghime,0.145,218,31.61
10592_2010_56_Fig4_HTML.gif,0.613,0.952,2003,1,Teghime,0.131,263,34.453
10592_2010_56_Fig4_HTML.gif,0.76,0.935,2004,1,Teghime,0.148,240,35.52
10592_2010_56_Fig4_HTML.gif,0.916,0.93,2005,1,Teghime,0.153,256,39.168
10592_2010_56_Fig4_HTML.gif,1.067,0.985,2006,1,Teghime,0.098,233,22.834
10592_2010_56_Fig4_HTML.gif,1.217,0.949,2007,1,Teghime,0.134,260,34.84
10592_2010_56_Fig4_HTML.gif,1.365,0.982,2008,1,Teghime,0.101,265,26.765
10592_2010_56_Fig4_HTML.gif,1.526,1.064,2009,1,Teghime,0.019,247,4.693
10592_2010_56_Fig4_HTML.gif,0.189,0.429,2000,2,Teghime,0.654,199,130.146
10592_2010_56_Fig4_HTML.gif,0.342,0.46,2001,2,Teghime,0.623,252,156.996
10592_2010_56_Fig4_HTML.gif,0.492,0.375,2002,2,Teghime,0.708,218,154.344
10592_2010_56_Fig4_HTML.gif,0.651,0.421,2003,2,Teghime,0.662,263,174.106
10592_2010_56_Fig4_HTML.gif,0.799,0.369,2004,2,Teghime,0.714,240,171.36
10592_2010_56_Fig4_HTML.gif,0.946,0.479,2005,2,Teghime,0.604,256,154.624
10592_2010_56_Fig4_HTML.gif,1.102,0.421,2006,2,Teghime,0.662,233,154.246
10592_2010_56_Fig4_HTML.gif,1.253,0.492,2007,2,Teghime,0.591,260,153.66
10592_2010_56_Fig4_HTML.gif,1.403,0.533,2008,2,Teghime,0.55,265,145.75
10592_2010_56_Fig4_HTML.gif,1.559,0.263,2009,2,Teghime,0.82,247,202.54
10592_2010_56_Fig4_HTML.gif,0.227,0.952,2000,3,Teghime,0.131,199,26.069
10592_2010_56_Fig4_HTML.gif,0.377,0.922,2001,3,Teghime,0.161,252,40.572
10592_2010_56_Fig4_HTML.gif,0.528,0.946,2002,3,Teghime,0.137,218,29.866
10592_2010_56_Fig4_HTML.gif,0.687,0.884,2003,3,Teghime,0.199,263,52.337
10592_2010_56_Fig4_HTML.gif,0.834,0.944,2004,3,Teghime,0.139,240,33.36
10592_2010_56_Fig4_HTML.gif,0.982,0.837,2005,3,Teghime,0.246,256,62.976
10592_2010_56_Fig4_HTML.gif,1.132,0.848,2006,3,Teghime,0.235,233,54.755
10592_2010_56_Fig4_HTML.gif,1.286,0.81,2007,3,Teghime,0.273,260,70.98
10592_2010_56_Fig4_HTML.gif,1.442,0.739,2008,3,Teghime,0.344,265,91.16
10592_2010_56_Fig4_HTML.gif,1.595,0.93,2009,3,Teghime,0.153,247,37.791
10592_2010_56_Fig4_HTML.gif,1.996,1.084,NA,0,Inzecca,NA,NA,NA
10592_2010_56_Fig4_HTML.gif,2.038,0.988,2000,1,Inzecca,0.096,113,10.848
10592_2010_56_Fig4_HTML.gif,2.191,1.042,2001,1,Inzecca,0.042,167,7.014
10592_2010_56_Fig4_HTML.gif,2.344,0.973,2002,1,Inzecca,0.111,100,11.1
10592_2010_56_Fig4_HTML.gif,2.495,0.944,2003,1,Inzecca,0.14,162,22.68
10592_2010_56_Fig4_HTML.gif,2.648,1.028,2004,1,Inzecca,0.056,151,8.456
10592_2010_56_Fig4_HTML.gif,2.796,0.919,2005,1,Inzecca,0.165,160,26.4
10592_2010_56_Fig4_HTML.gif,2.95,1.047,2006,1,Inzecca,0.037,128,4.736
10592_2010_56_Fig4_HTML.gif,3.095,1,2007,1,Inzecca,0.084,125,10.5
10592_2010_56_Fig4_HTML.gif,3.251,0.996,2008,1,Inzecca,0.088,121,10.648
10592_2010_56_Fig4_HTML.gif,3.402,0.991,2009,1,Inzecca,0.093,113,10.509
10592_2010_56_Fig4_HTML.gif,2.073,0.615,2000,2,Inzecca,0.469,113,52.997
10592_2010_56_Fig4_HTML.gif,2.223,0.647,2001,2,Inzecca,0.437,167,72.979
10592_2010_56_Fig4_HTML.gif,2.374,0.623,2002,2,Inzecca,0.461,100,46.1
10592_2010_56_Fig4_HTML.gif,2.527,0.694,2003,2,Inzecca,0.39,162,63.18
10592_2010_56_Fig4_HTML.gif,2.68,0.786,2004,2,Inzecca,0.298,151,44.998
10592_2010_56_Fig4_HTML.gif,2.833,0.746,2005,2,Inzecca,0.338,160,54.08
10592_2010_56_Fig4_HTML.gif,2.977,0.568,2006,2,Inzecca,0.516,128,66.048
10592_2010_56_Fig4_HTML.gif,3.132,0.721,2007,2,Inzecca,0.363,125,45.375
10592_2010_56_Fig4_HTML.gif,3.283,0.753,2008,2,Inzecca,0.331,121,40.051
10592_2010_56_Fig4_HTML.gif,3.441,0.615,2009,2,Inzecca,0.469,113,52.997
10592_2010_56_Fig4_HTML.gif,2.107,0.652,2000,3,Inzecca,0.432,113,48.816
10592_2010_56_Fig4_HTML.gif,2.26,0.566,2001,3,Inzecca,0.518,167,86.506
10592_2010_56_Fig4_HTML.gif,2.411,0.657,2002,3,Inzecca,0.427,100,42.7
10592_2010_56_Fig4_HTML.gif,2.559,0.615,2003,3,Inzecca,0.469,162,75.978
10592_2010_56_Fig4_HTML.gif,2.712,0.442,2004,3,Inzecca,0.642,151,96.942
10592_2010_56_Fig4_HTML.gif,2.866,0.59,2005,3,Inzecca,0.494,160,79.04
10592_2010_56_Fig4_HTML.gif,3.014,0.637,2006,3,Inzecca,0.447,128,57.216
10592_2010_56_Fig4_HTML.gif,3.167,0.534,2007,3,Inzecca,0.55,125,68.75
10592_2010_56_Fig4_HTML.gif,3.32,0.504,2008,3,Inzecca,0.58,121,70.18
10592_2010_56_Fig4_HTML.gif,3.473,0.652,2009,3,Inzecca,0.432,113,48.816
10592_2010_56_Fig4_HTML.gif,0.116,2.446,NA,0,Calcina,NA,NA,NA
