Authors,MatrixComposite,Group,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
Scanga,Individual,CfCh,active,Seedling,1,348
Scanga,Individual,CfCh,active,Small adult (1-3 stems),2,127
Scanga,Individual,CfCh,active,Medium adult (4-8 stems),3,113
Scanga,Individual,CfCh,active,Large adult (9-15 stems),4,94
Scanga,Individual,CfCh,active,Extra-large adult (>15 stems),5,91
Scanga,Individual,Cb,active,Seedling,1,234
Scanga,Individual,Cb,active,Small adult (1-3 stems),2,83
Scanga,Individual,Cb,active,Medium adult (4-8 stems),3,24
Scanga,Individual,Cb,active,Large adult (9-15 stems),4,28
Scanga,Individual,Cb,active,Extra-large adult (>15 stems),5,81
Scanga,Individual,EEFF,active,Seedling,1,30
Scanga,Individual,EEFF,active,Small adult (1-3 stems),2,81
Scanga,Individual,EEFF,active,Medium adult (4-8 stems),3,44
Scanga,Individual,EEFF,active,Large adult (9-15 stems),4,22
Scanga,Individual,EEFF,active,Extra-large adult (>15 stems),5,13
Scanga,Individual,H66cont,active,Seedling,1,271
Scanga,Individual,H66cont,active,Small adult (1-3 stems),2,241
Scanga,Individual,H66cont,active,Medium adult (4-8 stems),3,219
Scanga,Individual,H66cont,active,Large adult (9-15 stems),4,95
Scanga,Individual,H66cont,active,Extra-large adult (>15 stems),5,50
Scanga,Individual,MM,active,Seedling,1,19
Scanga,Individual,MM,active,Small adult (1-3 stems),2,94
Scanga,Individual,MM,active,Medium adult (4-8 stems),3,45
Scanga,Individual,MM,active,Large adult (9-15 stems),4,14
Scanga,Individual,MM,active,Extra-large adult (>15 stems),5,5
Scanga,Individual,T,active,Seedling,1,14
Scanga,Individual,T,active,Small adult (1-3 stems),2,66
Scanga,Individual,T,active,Medium adult (4-8 stems),3,54
Scanga,Individual,T,active,Large adult (9-15 stems),4,23
Scanga,Individual,T,active,Extra-large adult (>15 stems),5,10
