Authors,MatrixComposite,MatrixPopulation,MatrixStartYear,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,prop,Seeds,1,NA
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Seedlings: 0.01-8.8 cm,2,210
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Juveniles: 8.8-45.45 cm,3,91
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Juveniles: 45.45-120.12 cm,4,82
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Juveniles: 120.12-180.18 cm,5,42
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Adults: 180.18-300.3 cm,6,95
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Adults: 300.3-450.45 cm,7,69
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Adults: 450.45-600.6 cm,8,55
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Adults: 600.6-800 cm,9,49
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2012,active,Adults: > 800 cm,10,30
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,prop,Seeds,1,NA
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Seedlings: 0.01-8.8 cm,2,145
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Juveniles: 8.8-45.45 cm,3,100
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Juveniles: 45.45-120.12 cm,4,74
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Juveniles: 120.12-180.18 cm,5,44
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Adults: 180.18-300.3 cm,6,86
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Adults: 300.3-450.45 cm,7,72
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Adults: 450.45-600.6 cm,8,59
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Adults: 600.6-800 cm,9,43
Arroyo-Cosultchi; Golubov; Mandujano,Individual,Barranca of Metztitlan Biosphere Reserve,2013,active,Adults: > 800 cm,10,34
