DOI.ISBN,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,MatrixClassNumber,N
10.2307/3236803,Site A,1993,Seedling,1,135
10.2307/3236803,Site A,1993,Juvenile,2,116
10.2307/3236803,Site A,1993,Small vegetative rosettes,3,97
10.2307/3236803,Site A,1993,Large vegetative rosettes,4,106
10.2307/3236803,Site A,1993,Flowering vegetative rosettes,5,71
10.2307/3236803,Site A,1994,Seedling,1,194
10.2307/3236803,Site A,1994,Juvenile,2,64
10.2307/3236803,Site A,1994,Small vegetative rosettes,3,144
10.2307/3236803,Site A,1994,Large vegetative rosettes,4,106
10.2307/3236803,Site A,1994,Flowering vegetative rosettes,5,58
10.2307/3236803,Site A,1995,Seedling,1,39
10.2307/3236803,Site A,1995,Juvenile,2,87
10.2307/3236803,Site A,1995,Small vegetative rosettes,3,101
10.2307/3236803,Site A,1995,Large vegetative rosettes,4,152
10.2307/3236803,Site A,1995,Flowering vegetative rosettes,5,39
10.2307/3236803,Site A,1996,Seedling,1,78
10.2307/3236803,Site A,1996,Juvenile,2,62
10.2307/3236803,Site A,1996,Small vegetative rosettes,3,87
10.2307/3236803,Site A,1996,Large vegetative rosettes,4,147
10.2307/3236803,Site A,1996,Flowering vegetative rosettes,5,47
10.2307/3236803,Site B,1993,Seedling,1,5
10.2307/3236803,Site B,1993,Juvenile,2,10
10.2307/3236803,Site B,1993,Small vegetative rosettes,3,15
10.2307/3236803,Site B,1993,Large vegetative rosettes,4,24
10.2307/3236803,Site B,1993,Flowering vegetative rosettes,5,42
10.2307/3236803,Site B,1994,Seedling,1,8
10.2307/3236803,Site B,1994,Juvenile,2,26
10.2307/3236803,Site B,1994,Small vegetative rosettes,3,14
10.2307/3236803,Site B,1994,Large vegetative rosettes,4,24
10.2307/3236803,Site B,1994,Flowering vegetative rosettes,5,47
10.2307/3236803,Site B,1995,Seedling,1,36
10.2307/3236803,Site B,1995,Juvenile,2,17
10.2307/3236803,Site B,1995,Small vegetative rosettes,3,17
10.2307/3236803,Site B,1995,Large vegetative rosettes,4,35
10.2307/3236803,Site B,1995,Flowering vegetative rosettes,5,39
10.2307/3236803,Site B,1996,Seedling,1,26
10.2307/3236803,Site B,1996,Juvenile,2,26
10.2307/3236803,Site B,1996,Small vegetative rosettes,3,28
10.2307/3236803,Site B,1996,Large vegetative rosettes,4,35
10.2307/3236803,Site B,1996,Flowering vegetative rosettes,5,49
