SpeciesAuthor,MatrixPopulation,MatrixTreatment,MatrixComposite,MatrixStartYear,MatrixClassAuthor,N
Viola_biflora,No sheep,Unmanipulated,Individual,2002,Seeds,25
Viola_biflora,No sheep,Unmanipulated,Individual,2002,Seedlings,24
Viola_biflora,No sheep,Unmanipulated,Individual,2002,Extra small,50
Viola_biflora,No sheep,Unmanipulated,Individual,2002,Small,16
Viola_biflora,No sheep,Unmanipulated,Individual,2002,Medium,23
Viola_biflora,No sheep,Unmanipulated,Individual,2002,Large,22
Viola_biflora,No sheep,Unmanipulated,Individual,2002,Extra large,32
Viola_biflora,No sheep,Unmanipulated,Individual,2002,Dotmant,40
Viola_biflora,No sheep,Unmanipulated,Individual,2003,Seeds,11
Viola_biflora,No sheep,Unmanipulated,Individual,2003,Seedlings,48
Viola_biflora,No sheep,Unmanipulated,Individual,2003,Extra small,24
Viola_biflora,No sheep,Unmanipulated,Individual,2003,Small,31
Viola_biflora,No sheep,Unmanipulated,Individual,2003,Medium,29
Viola_biflora,No sheep,Unmanipulated,Individual,2003,Large,27
Viola_biflora,No sheep,Unmanipulated,Individual,2003,Extra large,23
Viola_biflora,No sheep,Unmanipulated,Individual,2003,Dotmant,7
Viola_biflora,No sheep,Unmanipulated,Individual,2004,Seeds,31
Viola_biflora,No sheep,Unmanipulated,Individual,2004,Seedlings,9
Viola_biflora,No sheep,Unmanipulated,Individual,2004,Extra small,37
Viola_biflora,No sheep,Unmanipulated,Individual,2004,Small,22
Viola_biflora,No sheep,Unmanipulated,Individual,2004,Medium,26
Viola_biflora,No sheep,Unmanipulated,Individual,2004,Large,19
Viola_biflora,No sheep,Unmanipulated,Individual,2004,Extra large,17
Viola_biflora,No sheep,Unmanipulated,Individual,2004,Dotmant,18
Viola_biflora,No sheep,Unmanipulated,Individual,2005,Seeds,3
Viola_biflora,No sheep,Unmanipulated,Individual,2005,Seedlings,29
Viola_biflora,No sheep,Unmanipulated,Individual,2005,Extra small,29
Viola_biflora,No sheep,Unmanipulated,Individual,2005,Small,36
Viola_biflora,No sheep,Unmanipulated,Individual,2005,Medium,27
Viola_biflora,No sheep,Unmanipulated,Individual,2005,Large,20
Viola_biflora,No sheep,Unmanipulated,Individual,2005,Extra large,28
Viola_biflora,No sheep,Unmanipulated,Individual,2005,Dotmant,8
Viola_biflora,No sheep,Unmanipulated,Individual,2006,Seeds,24
Viola_biflora,No sheep,Unmanipulated,Individual,2006,Seedlings,23
Viola_biflora,No sheep,Unmanipulated,Individual,2006,Extra small,35
Viola_biflora,No sheep,Unmanipulated,Individual,2006,Small,35
Viola_biflora,No sheep,Unmanipulated,Individual,2006,Medium,33
Viola_biflora,No sheep,Unmanipulated,Individual,2006,Large,23
Viola_biflora,No sheep,Unmanipulated,Individual,2006,Extra large,22
Viola_biflora,No sheep,Unmanipulated,Individual,2006,Dotmant,7
