DOI.ISBN,MatrixPopulation,MatrixStartYear,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
10.1007/s00035-014-0142-y,Arpalle,2009,active,Steril rosette,1,173
10.1007/s00035-014-0142-y,Arpalle,2009,active,Flowering rosette,2,36
10.1007/s00035-014-0142-y,Arpalle,2010,active,Steril rosette,1,185
10.1007/s00035-014-0142-y,Arpalle,2010,active,Flowering rosette,2,25
10.1007/s00035-014-0142-y,Arpalle,2011,active,Steril rosette,1,167
10.1007/s00035-014-0142-y,Arpalle,2011,active,Flowering rosette,2,33
10.1007/s00035-014-0142-y,Dotse,2009,active,Steril rosette,1,128
10.1007/s00035-014-0142-y,Dotse,2009,active,Flowering rosette,2,25
10.1007/s00035-014-0142-y,Dotse,2010,active,Steril rosette,1,145
10.1007/s00035-014-0142-y,Dotse,2010,active,Flowering rosette,2,12
10.1007/s00035-014-0142-y,Dotse,2011,active,Steril rosette,1,130
10.1007/s00035-014-0142-y,Dotse,2011,active,Flowering rosette,2,13
