SpeciesAuthor,MatrixPopulation,MatrixComposite,MatrixStartYear,MatrixEndYear,S1,S2,S3
Pediocactus_bradyi,Badger Creek,Individual,1988,1989,7,29,5
Pediocactus_bradyi,Badger Creek,Individual,1989,1990,5,27,4
Pediocactus_bradyi,Badger Creek,Individual,1990,1991,16,25,8
Pediocactus_bradyi,Badger Creek,Individual,1991,1992,18,29,0
Pediocactus_bradyi,Badger Creek,Individual,1992,1993,29,24,0
Pediocactus_bradyi,Badger Creek,Individual,1993,1994,27,21,6
Pediocactus_bradyi,Badger Creek,Individual,1994,1995,24,19,3
Pediocactus_bradyi,Badger Creek,Individual,1995,1996,25,23,2
Pediocactus_bradyi,Badger Creek,Individual,1996,1997,58,27,1
Pediocactus_bradyi,Badger Creek,Individual,1997,1998,54,31,0
Pediocactus_bradyi,Badger Creek,Individual,1998,1999,68,25,0
Pediocactus_bradyi,Badger Creek,Individual,1999,2000,56,36,0
Pediocactus_bradyi,Badger Creek,Individual,2000,2001,33,42,0
Pediocactus_bradyi,Badger Creek,Individual,2001,2002,38,63,0
Pediocactus_bradyi,Badger Creek,Individual,2002,2003,36,64,2
Pediocactus_bradyi,Badger Creek,Individual,2003,2004,13,71,11
Pediocactus_bradyi,Badger Creek,Individual,2004,2005,12,73,3
Pediocactus_bradyi,Badger Creek,Individual,2005,2006,13,71,8
Pediocactus_bradyi,Badger Creek,Individual,2006,2007,19,64,3
Pediocactus_bradyi,Badger Creek,Individual,2007,2008,23,65,4
Pediocactus_bradyi,Badger Creek,Individual,2008,2009,19,57,8
Pediocactus_bradyi,Badger Creek,Individual,2009,2010,19,62,2
Pediocactus_bradyi,Soap Creek,Individual,1988,1989,3,25,41
Pediocactus_bradyi,Soap Creek,Individual,1989,1990,3,41,29
Pediocactus_bradyi,Soap Creek,Individual,1990,1991,3,29,46
Pediocactus_bradyi,Soap Creek,Individual,1991,1992,6,39,34
Pediocactus_bradyi,Soap Creek,Individual,1992,1993,6,38,43
Pediocactus_bradyi,Soap Creek,Individual,1993,1994,4,34,49
Pediocactus_bradyi,Soap Creek,Individual,1994,1995,4,47,43
Pediocactus_bradyi,Soap Creek,Individual,1995,1996,13,42,38
Pediocactus_bradyi,Soap Creek,Individual,1996,1997,7,77,17
Pediocactus_bradyi,Soap Creek,Individual,1997,1998,9,80,13
Pediocactus_bradyi,Soap Creek,Individual,1998,1999,8,72,16
