DOI.ISBN,MatrixPopulation,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
10.1007/s12231-014-9295-2,Xochiltepec,active,Plantlet,1,61
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 1,2,31
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 2,3,32
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 3,4,30
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 4,5,17
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 5,6,14
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 6,7,14
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 7,8,17
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 8,9,5
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 9,10,3
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 10,11,10
10.1007/s12231-014-9295-2,Xochiltepec,active,Juvenile 11,12,8
10.1007/s12231-014-9295-2,Xochiltepec,active,Adult 1,13,9
10.1007/s12231-014-9295-2,Xochiltepec,active,Adult 2,14,9
10.1007/s12231-014-9295-2,Xochiltepec,active,Adult 3,15,3
10.1007/s12231-014-9295-2,Xochiltepec,active,Adult 4,16,2
10.1007/s12231-014-9295-2,Xochiltepec,active,Adult 5,17,3
10.1007/s12231-014-9295-2,Machiche,active,Plantlet,1,120
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 1,2,18
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 2,3,16
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 3,4,11
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 4,5,28
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 5,6,26
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 6,7,14
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 7,8,12
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 8,9,13
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 9,10,6
10.1007/s12231-014-9295-2,Machiche,active,Juvenile 10,11,7
10.1007/s12231-014-9295-2,Machiche,active,Adult 1,12,4
10.1007/s12231-014-9295-2,Machiche,active,Adult 2,13,3
10.1007/s12231-014-9295-2,Machiche,active,Adult 3,14,2
