Aschero; Morris; Vázquez; Alvarez; Villagra, 2016, For Ecol Manag, 10.1016/j.foreco.2016.03.028, Prosopis flexuosa
Kiviniemi, 2002, Plant Ecol, NA, Agrimonia eupatoria
Satterthwaite; Menges; Quintana-Ascencio, 2002, Ecol Appl, 10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2, Eriogonum longifolium gnaphalifolium
Andrello; Bizoux; Barbet-Massin; Gaudeul; Nicolè; Till-Bottraud, 2012, Biol Cons, 10.1016/j.biocon.2011.12.012, Eryngium alpinum
Ellis, 2012, Ecology, 10.1890/11-1052.1, Liatris scariosa
Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley, 2012, Ecology, 10.1890/11-1052.1, Cirsium pitcheri
Scanga, 2014, Plant Ecol, 10.1007/s11258-014-0344-9, Trollius laxus
Lázaro-Zermeño; González-Espinosa; Mendoza; Martinez-Ramos; Quintana-Ascencio, 2011, Forest Ecol Manag, 10.1016/j.foreco.2010.10.028, Dioon merolae
Arroyo-Cosultchi; Golubov; Mandujano, 2016, Acta Oecol, 10.1016/j.actao.2016.01.006, Neobuxbaumia polylopha
Plank, 2010, MSc thesis, NA, Trillium persistens
Jolls; Marik; Hamze; Havens, 2015, Biol Cons, 10.1016/j.biocon.2015.04.006, Cirsium pitcheri
Torres; Casas; Vega; Martinez-Ramos; Delgado-Lemus, 2015, Econ Bot, 10.1007/s12231-014-9295-2, Agave potatorum
Andrieu; Freville; Besnord; Vaudey; Gauthier; Thompson; Debussche, 2013, Popul Ecol, 10.1007/s10144-012-0346-1, Paeonia officinalis
Eriksson; Eriksson, 2000, J Veg Sci, 10.2307/3236803, Plantago media
Crone; Lesica, 2004, Ecology, 10.1890/03-0256, Astragalus scaphoides
Lemke; Salguero-Gomez, 2015, Popul Ecol, 10.1007/s10144-015-0519-9, Trollius europaeus
Toledo-Aceves; Hernandez-Apolinar, 2016, Acta Oecol, 10.1016/j.actao.2016.01.007, Tillandsia butzii
Crone; Marler; Pearson, 2009, J Appl Ecol, 10.1111/j.1365-2664.2009.01635.x, Balsamorhiza sagittata
Dostálek; Münzbergova, 2013, Folia Geobot, NA, Dracocephalum austriacum
Evju; Halvorsen; Rydgren; Austrheim; Mysterud, 2010, Oecologia, 10.1007/s00442-010-1637-x, Viola biflora
Flores-Martinez; Manzanero-Medino; Golubov; Montaña; Mandujano, 2010, Plant Ecol, 10.1007/s11258-010-9737-6, Mammillaria huitzilopochtli
Shryock; Esque; Hughes, 2014, Am J Bot, 10.3732/ajb.1400035, Pediocactus bradyi
Csergő; Molnár; Garcia, 2011, Popul Ecol, 10.1007/s10144-010-0249-y, Saponaria bellidifolia
Raghu; Osunkoya; Perrett; Pichancourt, 2014, Bas Appl Ecol, 10.1016/j.baae.2014.08.006, Lantana camara
Martin; Meinke, 2012, Popul Ecol, 10.1007/s10144-012-0318-5, Astragalus peckii
Law; Salick; Knight, 2010, Plant Ecol, 10.1007/s11258-010-9761-6, Saussurea medusa
Jacquemyns; Brys; Jongejans, 2010, Ecology, 10.1890/08-2321.1, Orchis purpurea
Portela; Bruna; dos Santos, 2010, Biodivers Conserv, 10.1007/s10531-010-9846-5, Astrocaryum aculeatissimum
López-Mata, 2013, Acta Oeco, 10.1016/j.actao.2013.02.010, Pinus maximartinezii
Auestad; Rydgren; Jongejans; Kroon, 2010, Biol Cons, 10.1016/j.biocon.2009.12.037, Pimpinella saxifraga
Dias Segura, 2013, MSc thesis, NA, Lophophora diffusa
