"SpeciesAuthor","Stage","MatrixPopulation","MatrixStartYear","N"
"Eryngium_alpinum","1","DES",2001,21
"Eryngium_alpinum","2","DES",2001,54
"Eryngium_alpinum","3","DES",2001,62
"Eryngium_alpinum","4","DES",2001,1
"Eryngium_alpinum","1","BER",2001,52
"Eryngium_alpinum","2","BER",2001,9
"Eryngium_alpinum","3","BER",2001,49
"Eryngium_alpinum","4","BER",2001,63
"Eryngium_alpinum","1","BOU",2001,18
"Eryngium_alpinum","2","BOU",2001,57
"Eryngium_alpinum","3","BOU",2001,40
"Eryngium_alpinum","4","BOU",2001,14
"Eryngium_alpinum","1","PRA",2001,75
"Eryngium_alpinum","2","PRA",2001,27
"Eryngium_alpinum","3","PRA",2001,95
"Eryngium_alpinum","4","PRA",2001,14
"Eryngium_alpinum","1","PRB",2001,44
"Eryngium_alpinum","2","PRB",2001,48
"Eryngium_alpinum","3","PRB",2001,95
"Eryngium_alpinum","4","PRB",2001,24
"Eryngium_alpinum","1","PRC",2001,209
"Eryngium_alpinum","2","PRC",2001,117
"Eryngium_alpinum","3","PRC",2001,60
"Eryngium_alpinum","4","PRC",2001,28
"Eryngium_alpinum","1","PRD",2001,19
"Eryngium_alpinum","2","PRD",2001,35
"Eryngium_alpinum","3","PRD",2001,55
"Eryngium_alpinum","4","PRD",2001,4
"Eryngium_alpinum","1","DES",2002,467
"Eryngium_alpinum","2","DES",2002,113
"Eryngium_alpinum","3","DES",2002,20
"Eryngium_alpinum","4","DES",2002,38
"Eryngium_alpinum","1","BER",2002,18
"Eryngium_alpinum","2","BER",2002,5
"Eryngium_alpinum","3","BER",2002,78
"Eryngium_alpinum","4","BER",2002,27
"Eryngium_alpinum","1","BOU",2002,19
"Eryngium_alpinum","2","BOU",2002,48
"Eryngium_alpinum","3","BOU",2002,44
"Eryngium_alpinum","4","BOU",2002,16
"Eryngium_alpinum","1","PRA",2002,73
"Eryngium_alpinum","2","PRA",2002,55
"Eryngium_alpinum","3","PRA",2002,84
"Eryngium_alpinum","4","PRA",2002,23
"Eryngium_alpinum","1","PRB",2002,94
"Eryngium_alpinum","2","PRB",2002,59
"Eryngium_alpinum","3","PRB",2002,88
"Eryngium_alpinum","4","PRB",2002,34
"Eryngium_alpinum","1","PRC",2002,301
"Eryngium_alpinum","2","PRC",2002,239
"Eryngium_alpinum","3","PRC",2002,77
"Eryngium_alpinum","4","PRC",2002,22
"Eryngium_alpinum","1","PRD",2002,36
"Eryngium_alpinum","2","PRD",2002,34
"Eryngium_alpinum","3","PRD",2002,51
"Eryngium_alpinum","4","PRD",2002,7
"Eryngium_alpinum","1","DES",2003,1866
"Eryngium_alpinum","2","DES",2003,131
"Eryngium_alpinum","3","DES",2003,37
"Eryngium_alpinum","4","DES",2003,27
"Eryngium_alpinum","1","BER",2003,4
"Eryngium_alpinum","2","BER",2003,1
"Eryngium_alpinum","3","BER",2003,50
"Eryngium_alpinum","4","BER",2003,52
"Eryngium_alpinum","1","BOU",2003,1
"Eryngium_alpinum","2","BOU",2003,47
"Eryngium_alpinum","3","BOU",2003,56
"Eryngium_alpinum","4","BOU",2003,5
"Eryngium_alpinum","1","PRA",2003,242
"Eryngium_alpinum","2","PRA",2003,56
"Eryngium_alpinum","3","PRA",2003,66
"Eryngium_alpinum","4","PRA",2003,41
"Eryngium_alpinum","1","PRB",2003,222
"Eryngium_alpinum","2","PRB",2003,55
"Eryngium_alpinum","3","PRB",2003,74
"Eryngium_alpinum","4","PRB",2003,50
"Eryngium_alpinum","1","PRC",2003,236
"Eryngium_alpinum","2","PRC",2003,181
"Eryngium_alpinum","3","PRC",2003,59
"Eryngium_alpinum","4","PRC",2003,33
"Eryngium_alpinum","1","PRD",2003,23
"Eryngium_alpinum","2","PRD",2003,57
"Eryngium_alpinum","3","PRD",2003,73
"Eryngium_alpinum","4","PRD",2003,16
"Eryngium_alpinum","1","DES",2004,1314
"Eryngium_alpinum","2","DES",2004,74
"Eryngium_alpinum","3","DES",2004,58
"Eryngium_alpinum","4","DES",2004,9
"Eryngium_alpinum","1","BER",2004,61
"Eryngium_alpinum","2","BER",2004,4
"Eryngium_alpinum","3","BER",2004,81
"Eryngium_alpinum","4","BER",2004,21
"Eryngium_alpinum","1","BOU",2004,1
"Eryngium_alpinum","2","BOU",2004,38
"Eryngium_alpinum","3","BOU",2004,52
"Eryngium_alpinum","4","BOU",2004,2
"Eryngium_alpinum","1","PRA",2004,357
"Eryngium_alpinum","2","PRA",2004,22
