DOI.ISBN,Group,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
10.1007/s10144-012-0346-1,Open habitat 2003,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Open habitat 2003,prop,Seed bank 2,2,40
10.1007/s10144-012-0346-1,Open habitat 2003,active,Samll vegetative plants (a single leaf; no stem),3,16
10.1007/s10144-012-0346-1,Open habitat 2003,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,15
10.1007/s10144-012-0346-1,Open habitat 2003,active,Redroductive plants (flowering),5,48
10.1007/s10144-012-0346-1,Open habitat 2004,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Open habitat 2004,prop,Seed bank 2,2,40
10.1007/s10144-012-0346-1,Open habitat 2004,active,Samll vegetative plants (a single leaf; no stem),3,15
10.1007/s10144-012-0346-1,Open habitat 2004,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,9
10.1007/s10144-012-0346-1,Open habitat 2004,active,Redroductive plants (flowering),5,55
10.1007/s10144-012-0346-1,Open habitat 2005,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Open habitat 2005,prop,Seed bank 2,2,40
10.1007/s10144-012-0346-1,Open habitat 2005,active,Samll vegetative plants (a single leaf; no stem),3,16
10.1007/s10144-012-0346-1,Open habitat 2005,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,11
10.1007/s10144-012-0346-1,Open habitat 2005,active,Redroductive plants (flowering),5,54
10.1007/s10144-012-0346-1,Open habitat 2006,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Open habitat 2006,prop,Seed bank 2,2,40
10.1007/s10144-012-0346-1,Open habitat 2006,active,Samll vegetative plants (a single leaf; no stem),3,21
10.1007/s10144-012-0346-1,Open habitat 2006,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,10
10.1007/s10144-012-0346-1,Open habitat 2006,active,Redroductive plants (flowering),5,52
10.1007/s10144-012-0346-1,Open habitat 2007,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Open habitat 2007,prop,Seed bank 2,2,40
10.1007/s10144-012-0346-1,Open habitat 2007,active,Samll vegetative plants (a single leaf; no stem),3,10
10.1007/s10144-012-0346-1,Open habitat 2007,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,20
10.1007/s10144-012-0346-1,Open habitat 2007,active,Redroductive plants (flowering),5,43
10.1007/s10144-012-0346-1,Woodland 2003,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Woodland 2003,prop,Seed bank 2,2,7
10.1007/s10144-012-0346-1,Woodland 2003,active,Samll vegetative plants (a single leaf; no stem),3,37
10.1007/s10144-012-0346-1,Woodland 2003,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,75
10.1007/s10144-012-0346-1,Woodland 2003,active,Redroductive plants (flowering),5,13
10.1007/s10144-012-0346-1,Woodland 2004,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Woodland 2004,prop,Seed bank 2,2,7
10.1007/s10144-012-0346-1,Woodland 2004,active,Samll vegetative plants (a single leaf; no stem),3,37
10.1007/s10144-012-0346-1,Woodland 2004,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,72
10.1007/s10144-012-0346-1,Woodland 2004,active,Redroductive plants (flowering),5,11
10.1007/s10144-012-0346-1,Woodland 2005,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Woodland 2005,prop,Seed bank 2,2,7
10.1007/s10144-012-0346-1,Woodland 2005,active,Samll vegetative plants (a single leaf; no stem),3,26
10.1007/s10144-012-0346-1,Woodland 2005,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,71
10.1007/s10144-012-0346-1,Woodland 2005,active,Redroductive plants (flowering),5,5
10.1007/s10144-012-0346-1,Woodland 2006,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Woodland 2006,prop,Seed bank 2,2,7
10.1007/s10144-012-0346-1,Woodland 2006,active,Samll vegetative plants (a single leaf; no stem),3,30
10.1007/s10144-012-0346-1,Woodland 2006,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,63
10.1007/s10144-012-0346-1,Woodland 2006,active,Redroductive plants (flowering),5,7
10.1007/s10144-012-0346-1,Woodland 2007,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Woodland 2007,prop,Seed bank 2,2,7
10.1007/s10144-012-0346-1,Woodland 2007,active,Samll vegetative plants (a single leaf; no stem),3,24
10.1007/s10144-012-0346-1,Woodland 2007,active,Large vegetative plants (at least 2 leaves and a stem; no flower),4,60
10.1007/s10144-012-0346-1,Woodland 2007,active,Redroductive plants (flowering),5,5
10.1007/s10144-012-0346-1,Managed habitat 2003,prop,Seed bank 1,1,NA
10.1007/s10144-012-0346-1,Managed habitat 2003,prop,Seed bank 2,2,42
10.1007/s10144-012-0346-1,Managed habitat 2003,active,Samll vegetative plants (a single leaf; no stem),3,34
