SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixEndYear,MatrixClassAuthor,N
Pimpinella_saxifraga,Molde road verge (MR),2003,2006,Seedlings,154
Pimpinella_saxifraga,Molde road verge (MR),2003,2006,Small non-flowering individuals,19
Pimpinella_saxifraga,Molde road verge (MR),2003,2006,Large non-flowering individuals,56
Pimpinella_saxifraga,Molde road verge (MR),2003,2006,Small flowering individuals,13
Pimpinella_saxifraga,Molde road verge (MR),2003,2006,Large flowering individuals,26
Pimpinella_saxifraga,Stuvane road verge (SR),2003,2006,Seedlings,57
Pimpinella_saxifraga,Stuvane road verge (SR),2003,2006,Small non-flowering individuals,9
Pimpinella_saxifraga,Stuvane road verge (SR),2003,2006,Large non-flowering individuals,76
Pimpinella_saxifraga,Stuvane road verge (SR),2003,2006,Small flowering individuals,5
Pimpinella_saxifraga,Stuvane road verge (SR),2003,2006,Large flowering individuals,44
Pimpinella_saxifraga,Nese road verge (NR),2003,2006,Seedlings,43
Pimpinella_saxifraga,Nese road verge (NR),2003,2006,Small non-flowering individuals,17
Pimpinella_saxifraga,Nese road verge (NR),2003,2006,Large non-flowering individuals,51
Pimpinella_saxifraga,Nese road verge (NR),2003,2006,Small flowering individuals,6
Pimpinella_saxifraga,Nese road verge (NR),2003,2006,Large flowering individuals,30
