DOI.ISBN,MatrixComposite,MatrixTreatment,MatrixStartYear,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2002,active,SV: Small vegetativ (1-2 leaves),1,336
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2002,active,MV: Medium vegetativ (3-14 leaves),2,43
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2002,active,LV: Large vegetativ (䊫 15 leaves),3,14
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2002,active,MF: Medium flowering (< 15 leaves),4,9
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2002,active,LF: Large flowering (䊫15 leaves),5,30
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2003,active,SV: Small vegetativ (1-2 leaves),1,341
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2003,active,MV: Medium vegetativ (3-14 leaves),2,37
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2003,active,LV: Large vegetativ (䊫 15 leaves),3,6
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2003,active,MF: Medium flowering (< 15 leaves),4,18
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2003,active,LF: Large flowering (䊫15 leaves),5,39
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2004,active,SV: Small vegetativ (1-2 leaves),1,366
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2004,active,MV: Medium vegetativ (3-14 leaves),2,38
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2004,active,LV: Large vegetativ (䊫 15 leaves),3,2
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2004,active,MF: Medium flowering (< 15 leaves),4,20
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2004,active,LF: Large flowering (䊫15 leaves),5,42
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2005,active,SV: Small vegetativ (1-2 leaves),1,253
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2005,active,MV: Medium vegetativ (3-14 leaves),2,53
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2005,active,LV: Large vegetativ (䊫 15 leaves),3,16
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2005,active,MF: Medium flowering (< 15 leaves),4,1
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2005,active,LF: Large flowering (䊫15 leaves),5,24
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2006,active,SV: Small vegetativ (1-2 leaves),1,209
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2006,active,MV: Medium vegetativ (3-14 leaves),2,50
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2006,active,LV: Large vegetativ (䊫 15 leaves),3,20
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2006,active,MF: Medium flowering (< 15 leaves),4,3
10.1111/j.1365-2664.2009.01635.x,Individual,Unmanipulated,2006,active,LF: Large flowering (䊫15 leaves),5,28
