SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixEndYear,MatrixClassAuthor,N
Lophophora_diffusa,Ermita,2010,2011,Seeds,NA
Lophophora_diffusa,Ermita,2010,2011,Seedlings (0.1 - 3.5 cm),39
Lophophora_diffusa,Ermita,2010,2011,Juveniles (3.6 - 10.5 cm),98
Lophophora_diffusa,Ermita,2010,2011,Adult 1 (10.6 - 19 cm),86
Lophophora_diffusa,Ermita,2010,2011,Adult 2 (19.1 - 37 cm),95
Lophophora_diffusa,Ermita,2010,2011,Adult 3 (37.1 - 55.9 cm),28
Lophophora_diffusa,Ermita,2010,2011,Adult 4 (> 56 cm),34
Lophophora_diffusa,Ermita,2011,2012,Seeds,NA
Lophophora_diffusa,Ermita,2011,2012,Seedlings (0.1 - 3.5 cm),32
Lophophora_diffusa,Ermita,2011,2012,Juveniles (3.6 - 10.5 cm),67
Lophophora_diffusa,Ermita,2011,2012,Adult 1 (10.6 - 19 cm),69
Lophophora_diffusa,Ermita,2011,2012,Adult 2 (19.1 - 37 cm),81
Lophophora_diffusa,Ermita,2011,2012,Adult 3 (37.1 - 55.9 cm),20
Lophophora_diffusa,Ermita,2011,2012,Adult 4 (> 56 cm),28
