Authors,Journal,YearPublication,MatrixPopulation,MatrixStartYear,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2003,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2003,active,Seedling,2,8
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2003,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,71
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2003,active,Large adult (six and more stems),4,58
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2004,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2004,active,Seedling,2,6
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2004,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,61
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2004,active,Large adult (six and more stems),4,76
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2005,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2005,active,Seedling,2,10
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2005,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,79
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Cisarska rokle (C1),2005,active,Large adult (six and more stems),4,83
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2003,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2003,active,Seedling,2,38
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2003,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,78
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2003,active,Large adult (six and more stems),4,58
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2004,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2004,active,Seedling,2,16
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2004,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,63
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2004,active,Large adult (six and more stems),4,83
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2005,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2005,active,Seedling,2,30
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2005,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,73
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Haknovec (C2),2005,active,Large adult (six and more stems),4,76
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Kodska stena (C3),2003,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Kodska stena (C3),2003,active,Seedling,2,49
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Kodska stena (C3),2003,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,78
