MatrixPopulation,MatrixStartYear,Stage,N,P
G,1988,1,NA,FALSE
G,1988,2,8,FALSE
G,1988,3,3,FALSE
G,1988,4,34,FALSE
G,1988,5,26,FALSE
G,1988,6,24,FALSE
G,1989,1,NA,FALSE
G,1989,2,13,FALSE
G,1989,3,11,FALSE
G,1989,4,6,FALSE
G,1989,5,37,FALSE
G,1989,6,22,FALSE
G,1990,1,NA,FALSE
G,1990,2,1,FALSE
G,1990,3,24,FALSE
G,1990,4,71,FALSE
G,1990,5,27,FALSE
G,1990,6,9,FALSE
H,1988,1,NA,FALSE
H,1988,2,74,FALSE
H,1988,3,37,FALSE
H,1988,4,135,FALSE
H,1988,5,40,FALSE
H,1988,6,47,FALSE
H,1988,7,NA,TRUE
H,1989,1,NA,FALSE
H,1989,2,30,FALSE
H,1989,3,87,FALSE
H,1989,4,154,FALSE
H,1989,5,35,FALSE
H,1989,6,35,FALSE
H,1989,7,25,FALSE
H,1990,1,NA,FALSE
H,1990,2,31,FALSE
H,1990,3,139,FALSE
H,1990,4,151,FALSE
H,1990,5,38,FALSE
H,1990,6,14,FALSE
H,1990,7,16,FALSE
K,1988,1,NA,FALSE
K,1988,2,21,FALSE
K,1988,3,3,FALSE
K,1988,4,77,FALSE
K,1988,5,86,FALSE
K,1988,6,53,FALSE
K,1988,7,NA,TRUE
K,1989,1,NA,FALSE
K,1989,2,43,FALSE
K,1989,3,20,FALSE
K,1989,4,70,FALSE
K,1989,5,59,FALSE
K,1989,6,99,FALSE
K,1989,7,4,FALSE
K,1990,1,NA,FALSE
K,1990,2,94,FALSE
K,1990,3,53,FALSE
K,1990,4,71,FALSE
K,1990,5,104,FALSE
K,1990,6,73,FALSE
K,1990,7,1,FALSE
L,1988,1,NA,FALSE
L,1988,2,4,FALSE
L,1988,3,3,FALSE
L,1988,4,13,FALSE
L,1988,5,11,FALSE
L,1988,6,44,FALSE
L,1988,7,NA,TRUE
L,1989,1,NA,FALSE
L,1989,2,7,FALSE
L,1989,3,5,FALSE
L,1989,4,32,FALSE
L,1989,5,40,FALSE
L,1989,6,64,FALSE
L,1989,7,3,FALSE
L,1990,1,NA,FALSE
L,1990,2,12,FALSE
L,1990,3,11,FALSE
L,1990,4,33,FALSE
L,1990,5,70,FALSE
L,1990,6,41,FALSE
L,1990,7,NA,TRUE
