Authors,Journal,YearPublication,Group,MatrixClassAuthor,MatrixClassNumber,N
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Juveniles: 2.01-4 cm plant diameter,3,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Adults I: 4.01-7 cm plant diameter,4,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Adults II: 7.01-10 cm plant diameter,5,8
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Adults III: >10 cm plant diameter,6,9
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Clonal infantiles: < 2 cm plant diameter,7,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Clonal juveniles: 2.01-4 cm plant diameter,8,5
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Clonal adults I:  4.01-7 cm plant diameter,9,4
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2004,Clonal Adults 2: 7.01-10 cm plant diameter,10,6
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Juveniles: 2.01-4 cm plant diameter,3,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Adults I: 4.01-7 cm plant diameter,4,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Adults II: 7.01-10 cm plant diameter,5,8
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Adults III: >10 cm plant diameter,6,8
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Clonal infantiles: < 2 cm plant diameter,7,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Clonal juveniles: 2.01-4 cm plant diameter,8,8
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Clonal adults I:  4.01-7 cm plant diameter,9,6
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2005,Clonal Adults 2: 7.01-10 cm plant diameter,10,8
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2006,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2006,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Chuburna 2006,Juveniles: 2.01-4 cm plant diameter,3,10
