SpeciesAuthor,MatrixPopulation,MatrixTreatment,MatrixComposite,MatrixStartYear,MatrixEndYear,MatrixClassAuthor,N
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,1999,2000,C1: Seedlings,NA
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,1999,2000,C2: Juveniles (0.1-2 cm),110
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,1999,2000,C3: Young adults (2.1-4 cm),217
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,1999,2000,C4: Mature adults (4.1-6cm),104
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,1999,2000,C5: Old adults (> 6.1 cm),45
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2000,2001,C1: Seedlings,NA
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2000,2001,C2: Juveniles (0.1-2 cm),26
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2000,2001,C3: Young adults (2.1-4 cm),135
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2000,2001,C4: Mature adults (4.1-6cm),132
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2000,2001,C5: Old adults (> 6.1 cm),74
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2001,2002,C1: Seedlings,NA
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2001,2002,C2: Juveniles (0.1-2 cm),32
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2001,2002,C3: Young adults (2.1-4 cm),138
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2001,2002,C4: Mature adults (4.1-6cm),97
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2001,2002,C5: Old adults (> 6.1 cm),49
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2002,2003,C1: Seedlings,NA
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2002,2003,C2: Juveniles (0.1-2 cm),22
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2002,2003,C3: Young adults (2.1-4 cm),108
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2002,2003,C4: Mature adults (4.1-6cm),95
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2002,2003,C5: Old adults (> 6.1 cm),47
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2003,2004,C1: Seedlings,NA
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2003,2004,C2: Juveniles (0.1-2 cm),6
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2003,2004,C3: Young adults (2.1-4 cm),75
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2003,2004,C4: Mature adults (4.1-6cm),95
Mammillaria_huitzilopochtli,S2,Unmanipulated,Individual,2003,2004,C5: Old adults (> 6.1 cm),70
