SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,N
Orchis_purpurea,Shaded site 1,2002,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 1,2002,Tubers,NA
Orchis_purpurea,Shaded site 1,2002,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 1,2002,"Juveniles (older than one year, less than 3 leaves)",4
Orchis_purpurea,Shaded site 1,2002,Nonflowering plants (more than 3 leaves),26
Orchis_purpurea,Shaded site 1,2002,Flowering plants,8
Orchis_purpurea,Shaded site 1,2003,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 1,2003,Tubers,NA
Orchis_purpurea,Shaded site 1,2003,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 1,2003,"Juveniles (older than one year, less than 3 leaves)",5
Orchis_purpurea,Shaded site 1,2003,Nonflowering plants (more than 3 leaves),24
Orchis_purpurea,Shaded site 1,2003,Flowering plants,13
Orchis_purpurea,Shaded site 1,2004,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 1,2004,Tubers,NA
Orchis_purpurea,Shaded site 1,2004,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 1,2004,"Juveniles (older than one year, less than 3 leaves)",3
Orchis_purpurea,Shaded site 1,2004,Nonflowering plants (more than 3 leaves),33
Orchis_purpurea,Shaded site 1,2004,Flowering plants,6
Orchis_purpurea,Shaded site 1,2005,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 1,2005,Tubers,NA
Orchis_purpurea,Shaded site 1,2005,"Seedlings (first year plants, one leaf)",2
Orchis_purpurea,Shaded site 1,2005,"Juveniles (older than one year, less than 3 leaves)",2
Orchis_purpurea,Shaded site 1,2005,Nonflowering plants (more than 3 leaves),26
Orchis_purpurea,Shaded site 1,2005,Flowering plants,13
Orchis_purpurea,Shaded site 1,2006,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 1,2006,Tubers,NA
Orchis_purpurea,Shaded site 1,2006,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 1,2006,"Juveniles (older than one year, less than 3 leaves)",3
Orchis_purpurea,Shaded site 1,2006,Nonflowering plants (more than 3 leaves),37
Orchis_purpurea,Shaded site 1,2006,Flowering plants,2
Orchis_purpurea,Shaded site 1,2007,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 1,2007,Tubers,NA
Orchis_purpurea,Shaded site 1,2007,"Seedlings (first year plants, one leaf)",0
Orchis_purpurea,Shaded site 1,2007,"Juveniles (older than one year, less than 3 leaves)",2
Orchis_purpurea,Shaded site 1,2007,Nonflowering plants (more than 3 leaves),25
Orchis_purpurea,Shaded site 1,2007,Flowering plants,17
Orchis_purpurea,Shaded site 2,2002,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 2,2002,Tubers,NA
Orchis_purpurea,Shaded site 2,2002,"Seedlings (first year plants, one leaf)",5
Orchis_purpurea,Shaded site 2,2002,"Juveniles (older than one year, less than 3 leaves)",3
Orchis_purpurea,Shaded site 2,2002,Nonflowering plants (more than 3 leaves),33
Orchis_purpurea,Shaded site 2,2002,Flowering plants,24
Orchis_purpurea,Shaded site 2,2003,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 2,2003,Tubers,NA
Orchis_purpurea,Shaded site 2,2003,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 2,2003,"Juveniles (older than one year, less than 3 leaves)",6
Orchis_purpurea,Shaded site 2,2003,Nonflowering plants (more than 3 leaves),26
Orchis_purpurea,Shaded site 2,2003,Flowering plants,33
Orchis_purpurea,Shaded site 2,2004,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 2,2004,Tubers,NA
Orchis_purpurea,Shaded site 2,2004,"Seedlings (first year plants, one leaf)",2
Orchis_purpurea,Shaded site 2,2004,"Juveniles (older than one year, less than 3 leaves)",5
Orchis_purpurea,Shaded site 2,2004,Nonflowering plants (more than 3 leaves),31
Orchis_purpurea,Shaded site 2,2004,Flowering plants,28
Orchis_purpurea,Shaded site 2,2005,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 2,2005,Tubers,NA
Orchis_purpurea,Shaded site 2,2005,"Seedlings (first year plants, one leaf)",4
Orchis_purpurea,Shaded site 2,2005,"Juveniles (older than one year, less than 3 leaves)",6
Orchis_purpurea,Shaded site 2,2005,Nonflowering plants (more than 3 leaves),37
Orchis_purpurea,Shaded site 2,2005,Flowering plants,23
Orchis_purpurea,Shaded site 2,2006,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 2,2006,Tubers,NA
Orchis_purpurea,Shaded site 2,2006,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 2,2006,"Juveniles (older than one year, less than 3 leaves)",8
Orchis_purpurea,Shaded site 2,2006,Nonflowering plants (more than 3 leaves),44
Orchis_purpurea,Shaded site 2,2006,Flowering plants,16
Orchis_purpurea,Shaded site 2,2007,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 2,2007,Tubers,NA
Orchis_purpurea,Shaded site 2,2007,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 2,2007,"Juveniles (older than one year, less than 3 leaves)",4
Orchis_purpurea,Shaded site 2,2007,Nonflowering plants (more than 3 leaves),46
Orchis_purpurea,Shaded site 2,2007,Flowering plants,9
Orchis_purpurea,Shaded site 3,2002,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 3,2002,Tubers,NA
Orchis_purpurea,Shaded site 3,2002,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 3,2002,"Juveniles (older than one year, less than 3 leaves)",4
Orchis_purpurea,Shaded site 3,2002,Nonflowering plants (more than 3 leaves),8
Orchis_purpurea,Shaded site 3,2002,Flowering plants,11
Orchis_purpurea,Shaded site 3,2003,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 3,2003,Tubers,NA
Orchis_purpurea,Shaded site 3,2003,"Seedlings (first year plants, one leaf)",2
Orchis_purpurea,Shaded site 3,2003,"Juveniles (older than one year, less than 3 leaves)",3
Orchis_purpurea,Shaded site 3,2003,Nonflowering plants (more than 3 leaves),19
Orchis_purpurea,Shaded site 3,2003,Flowering plants,12
Orchis_purpurea,Shaded site 3,2004,Protocorms (germinated seeds),NA
Orchis_purpurea,Shaded site 3,2004,Tubers,NA
Orchis_purpurea,Shaded site 3,2004,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Shaded site 3,2004,"Juveniles (older than one year, less than 3 leaves)",3
Orchis_purpurea,Shaded site 3,2004,Nonflowering plants (more than 3 leaves),18
Orchis_purpurea,Shaded site 3,2004,Flowering plants,15
