Authors,Journal,YearPublication,SpeciesAccepted,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,MatrixClassNumber,N
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1993,Seedling,1,13
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1993,Juvenile,2,14
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1993,Vegetative,3,28
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1993,Reproductive,4,37
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1994,Seedling,1,7
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1994,Juvenile,2,7
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1994,Vegetative,3,20
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1994,Reproductive,4,50
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1995,Juvenile,1,4
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1995,Vegetative,2,8
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1995,Reproductive,3,35
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1995,Seedling,4,34
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1996,Juvenile,1,9
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1996,Vegetative,2,8
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1996,Reproductive,3,37
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1996,Juvenile,4,26
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1997,Vegetative,1,7
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1997,Reproductive,2,5
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1997,Seedling,3,24
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,A,1997,Juvenile,4,35
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1993,Reproductive,1,5
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1993,Seedling,2,7
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1993,Juvenile,3,11
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1993,Vegetative,4,39
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1994,Reproductive,1,21
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1994,Juvenile,2,8
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1994,Vegetative,3,10
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1994,Reproductive,4,42
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1995,Seedling,1,9
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1995,Juvenile,2,24
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1995,Vegetative,3,15
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1995,Reproductive,4,41
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1996,Juvenile,1,2
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1996,Vegetative,2,20
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1996,Reproductive,3,13
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1996,Seedling,4,42
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1997,Juvenile,1,14
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1997,Vegetative,2,18
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1997,Reproductive,3,9
Kiviniemi,Plant Ecol,2002,Agrimonia eupatoria,B,1997,Juvenile,4,47
Kiviniemi,Plant Ecol,2002,Geum rivale,C,1993,Seedling,1,2
Kiviniemi,Plant Ecol,2002,Geum rivale,C,1993,Juvenile (< 25 cm),2,15
Kiviniemi,Plant Ecol,2002,Geum rivale,C,1993,Small vegetative (< 39 cm),3,22
Kiviniemi,Plant Ecol,2002,Geum rivale,C,1993,Large vegetative,4,13
Kiviniemi,Plant Ecol,2002,Geum rivale,C,1993,Reproductive,5,15
Kiviniemi,Plant Ecol,2002,Geum rivale,C,1994,Seedling,1,8
