DOI.ISBN,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,N
10.1016/j.foreco.2010.10.028,EC,2004,New germinants,33
10.1016/j.foreco.2010.10.028,EC,2004,Seedlings,78
10.1016/j.foreco.2010.10.028,EC,2004,Saplings 1,14
10.1016/j.foreco.2010.10.028,EC,2004,Saplings 2,17
10.1016/j.foreco.2010.10.028,EC,2004,Adult 1,19
10.1016/j.foreco.2010.10.028,EC,2004,Adult 2,30
10.1016/j.foreco.2010.10.028,EC,2004,Adult 3,24
10.1016/j.foreco.2010.10.028,EC,2004,Adult 4,29
10.1016/j.foreco.2010.10.028,EC,2005,New germinants,6
10.1016/j.foreco.2010.10.028,EC,2005,Seedlings,83
10.1016/j.foreco.2010.10.028,EC,2005,Saplings 1,42
10.1016/j.foreco.2010.10.028,EC,2005,Saplings 2,17
10.1016/j.foreco.2010.10.028,EC,2005,Adult 1,19
10.1016/j.foreco.2010.10.028,EC,2005,Adult 2,29
10.1016/j.foreco.2010.10.028,EC,2005,Adult 3,26
10.1016/j.foreco.2010.10.028,EC,2005,Adult 4,28
10.1016/j.foreco.2010.10.028,EC,2006,New germinants,36
10.1016/j.foreco.2010.10.028,EC,2006,Seedlings,85
10.1016/j.foreco.2010.10.028,EC,2006,Saplings 1,45
10.1016/j.foreco.2010.10.028,EC,2006,Saplings 2,17
10.1016/j.foreco.2010.10.028,EC,2006,Adult 1,19
10.1016/j.foreco.2010.10.028,EC,2006,Adult 2,32
10.1016/j.foreco.2010.10.028,EC,2006,Adult 3,23
10.1016/j.foreco.2010.10.028,EC,2006,Adult 4,29
10.1016/j.foreco.2010.10.028,EC,2007,New germinants,51
10.1016/j.foreco.2010.10.028,EC,2007,Seedlings,40
10.1016/j.foreco.2010.10.028,EC,2007,Saplings 1,47
10.1016/j.foreco.2010.10.028,EC,2007,Saplings 2,15
10.1016/j.foreco.2010.10.028,EC,2007,Adult 1,18
10.1016/j.foreco.2010.10.028,EC,2007,Adult 2,32
10.1016/j.foreco.2010.10.028,EC,2007,Adult 3,23
10.1016/j.foreco.2010.10.028,EC,2007,Adult 4,27
10.1016/j.foreco.2010.10.028,FO,2004,New germinants,21
10.1016/j.foreco.2010.10.028,FO,2004,Seedlings,70
10.1016/j.foreco.2010.10.028,FO,2004,Saplings 1,25
10.1016/j.foreco.2010.10.028,FO,2004,Saplings 2,34
10.1016/j.foreco.2010.10.028,FO,2004,Adult 1,19
10.1016/j.foreco.2010.10.028,FO,2004,Adult 2,49
10.1016/j.foreco.2010.10.028,FO,2004,Adult 3,14
10.1016/j.foreco.2010.10.028,FO,2004,Adult 4,18
10.1016/j.foreco.2010.10.028,FO,2005,New germinants,2
10.1016/j.foreco.2010.10.028,FO,2005,Seedlings,84
10.1016/j.foreco.2010.10.028,FO,2005,Saplings 1,32
10.1016/j.foreco.2010.10.028,FO,2005,Saplings 2,33
10.1016/j.foreco.2010.10.028,FO,2005,Adult 1,19
10.1016/j.foreco.2010.10.028,FO,2005,Adult 2,48
10.1016/j.foreco.2010.10.028,FO,2005,Adult 3,14
10.1016/j.foreco.2010.10.028,FO,2005,Adult 4,18
10.1016/j.foreco.2010.10.028,FO,2006,New germinants,4
10.1016/j.foreco.2010.10.028,FO,2006,Seedlings,82
10.1016/j.foreco.2010.10.028,FO,2006,Saplings 1,32
10.1016/j.foreco.2010.10.028,FO,2006,Saplings 2,33
10.1016/j.foreco.2010.10.028,FO,2006,Adult 1,17
10.1016/j.foreco.2010.10.028,FO,2006,Adult 2,51
10.1016/j.foreco.2010.10.028,FO,2006,Adult 3,14
10.1016/j.foreco.2010.10.028,FO,2006,Adult 4,17
10.1016/j.foreco.2010.10.028,FO,2007,New germinants,5
10.1016/j.foreco.2010.10.028,FO,2007,Seedlings,33
10.1016/j.foreco.2010.10.028,FO,2007,Saplings 1,70
10.1016/j.foreco.2010.10.028,FO,2007,Saplings 2,32
10.1016/j.foreco.2010.10.028,FO,2007,Adult 1,14
10.1016/j.foreco.2010.10.028,FO,2007,Adult 2,53
10.1016/j.foreco.2010.10.028,FO,2007,Adult 3,13
10.1016/j.foreco.2010.10.028,FO,2007,Adult 4,16
10.1016/j.foreco.2010.10.028,RS,2004,New germinants,7
10.1016/j.foreco.2010.10.028,RS,2004,Seedlings,37
10.1016/j.foreco.2010.10.028,RS,2004,Saplings 1,57
10.1016/j.foreco.2010.10.028,RS,2004,Saplings 2,60
10.1016/j.foreco.2010.10.028,RS,2004,Adult 1,26
10.1016/j.foreco.2010.10.028,RS,2004,Adult 2,39
10.1016/j.foreco.2010.10.028,RS,2004,Adult 3,10
10.1016/j.foreco.2010.10.028,RS,2004,Adult 4,4
10.1016/j.foreco.2010.10.028,RS,2005,New germinants,6
10.1016/j.foreco.2010.10.028,RS,2005,Seedlings,43
10.1016/j.foreco.2010.10.028,RS,2005,Saplings 1,59
10.1016/j.foreco.2010.10.028,RS,2005,Saplings 2,63
10.1016/j.foreco.2010.10.028,RS,2005,Adult 1,22
10.1016/j.foreco.2010.10.028,RS,2005,Adult 2,41
10.1016/j.foreco.2010.10.028,RS,2005,Adult 3,8
