SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixEndYear,MatrixClassAuthor,N
Astragalus_peckii,Bull Flat,2006,2007,Seedbank,NA
Astragalus_peckii,Bull Flat,2006,2007,Seedling,267
Astragalus_peckii,Bull Flat,2006,2007,Small plants: 0-15cmå_,133
Astragalus_peckii,Bull Flat,2006,2007,Medium plants: >15-90 cmå_,120
Astragalus_peckii,Bull Flat,2006,2007,Large plants: >90 cmå_,70
Astragalus_peckii,Bull Flat,2007,2008,Seedbank,NA
Astragalus_peckii,Bull Flat,2007,2008,Seedling,391
Astragalus_peckii,Bull Flat,2007,2008,Small plants: 0-15cmå_,55
Astragalus_peckii,Bull Flat,2007,2008,Medium plants: >15-90 cmå_,60
Astragalus_peckii,Bull Flat,2007,2008,Large plants: >90 cmå_,100
Astragalus_peckii,Bull Flat,2008,2009,Seedbank,NA
Astragalus_peckii,Bull Flat,2008,2009,Seedling,368
Astragalus_peckii,Bull Flat,2008,2009,Small plants: 0-15cmå_,47
Astragalus_peckii,Bull Flat,2008,2009,Medium plants: >15-90 cmå_,42
Astragalus_peckii,Bull Flat,2008,2009,Large plants: >90 cmå_,60
Astragalus_peckii,Chiloquin,2006,2007,Seedbank,NA
Astragalus_peckii,Chiloquin,2006,2007,Seedling,654
Astragalus_peckii,Chiloquin,2006,2007,Small plants: 0-15cmå_,116
Astragalus_peckii,Chiloquin,2006,2007,Medium plants: >15-90 cmå_,37
Astragalus_peckii,Chiloquin,2006,2007,Large plants: >90 cmå_,74
Astragalus_peckii,Chiloquin,2007,2008,Seedbank,NA
Astragalus_peckii,Chiloquin,2007,2008,Seedling,635
Astragalus_peckii,Chiloquin,2007,2008,Small plants: 0-15cmå_,103
Astragalus_peckii,Chiloquin,2007,2008,Medium plants: >15-90 cmå_,50
Astragalus_peckii,Chiloquin,2007,2008,Large plants: >90 cmå_,65
Astragalus_peckii,Chiloquin,2008,2009,Seedbank,NA
Astragalus_peckii,Chiloquin,2008,2009,Seedling,1190
Astragalus_peckii,Chiloquin,2008,2009,Small plants: 0-15cmå_,85
Astragalus_peckii,Chiloquin,2008,2009,Medium plants: >15-90 cmå_,61
Astragalus_peckii,Chiloquin,2008,2009,Large plants: >90 cmå_,92
