Authors,MatrixComposite,MatrixPopulation,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
Plank,Individual,Battle Creek,active,Seedlings,1,3
Plank,Individual,Battle Creek,active,Juvenile,2,35
Plank,Individual,Battle Creek,active,Subadult,3,101
Plank,Individual,Battle Creek,active,Reproductive,4,34
Plank,Individual,Moccasin Creek,active,Seedlings,1,2
Plank,Individual,Moccasin Creek,active,Juvenile,2,15
Plank,Individual,Moccasin Creek,active,Subadult,3,95
Plank,Individual,Moccasin Creek,active,Reproductive,4,17
Plank,Individual,Moody Creek,active,Seedlings,1,0
Plank,Individual,Moody Creek,active,Juvenile,2,33
Plank,Individual,Moody Creek,active,Subadult,3,30
Plank,Individual,Moody Creek,active,Reproductive,4,4
Plank,Individual,Panther Creek,active,Seedlings,1,0
Plank,Individual,Panther Creek,active,Juvenile,2,80
Plank,Individual,Panther Creek,active,Subadult,3,102
Plank,Individual,Panther Creek,active,Reproductive,4,44
