SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixEndYear,MatrixClassAuthor,N
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2005,2006,Seedling,295
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2005,2006,Infant,1035
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2005,2006,Juvenile,942
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2005,2006,Immature,166
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2005,2006,Reproductive,318
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2006,2007,Seedling,349
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2006,2007,Infant,1192
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2006,2007,Juvenile,943
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2006,2007,Immature,170
Astrocaryum_aculeatissimum,Poco das Antas; Uniao,2006,2007,Reproductive,331
