SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,N
Lantana_camara_2,Farm,2008,Seedbank,NA
Lantana_camara_2,Farm,2008,Seedling (10-20 cm in height),60
Lantana_camara_2,Farm,2008,Juvenile (21-60 cm in height),110
Lantana_camara_2,Farm,2008,Small adult plant (61-100 cm in height),64
Lantana_camara_2,Farm,2008,Medium adult plant (101-160 cm in height),73
Lantana_camara_2,Farm,2008,Large adult plant (> 160 cm in height),39
Lantana_camara_2,Farm,2009,Seedbank,NA
Lantana_camara_2,Farm,2009,Seedling (10-20 cm in height),60
Lantana_camara_2,Farm,2009,Juvenile (21-60 cm in height),120
Lantana_camara_2,Farm,2009,Small adult plant (61-100 cm in height),94
Lantana_camara_2,Farm,2009,Medium adult plant (101-160 cm in height),67
Lantana_camara_2,Farm,2009,Large adult plant (> 160 cm in height),56
