DOI.ISBN,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,MatrixClassNumber,N,Pool
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1990,New plants (<2 cm basal diameter),1,41,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1990,Small plants (<8 cm basal diameter),2,11,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1990,Vegetative (>8 cm basal diameter),3,171,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1990,Flowering,4,10,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1990,Dormant,5,77,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1991,New plants (<2 cm basal diameter),1,41,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1991,Small plants (<8 cm basal diameter),2,248,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1991,Vegetative (>8 cm basal diameter),3,91,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1991,Flowering,4,41,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1991,Dormant,5,77,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1992,New plants (<2 cm basal diameter),1,12,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1992,Small plants (<8 cm basal diameter),2,20,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1992,Vegetative (>8 cm basal diameter),3,299,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1992,Flowering,4,75,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1992,Dormant,5,77,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1993,New plants (<2 cm basal diameter),1,9,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1993,Small plants (<8 cm basal diameter),2,44,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1993,Vegetative (>8 cm basal diameter),3,450,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1993,Flowering,4,70,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1993,Dormant,5,12,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1994,New plants (<2 cm basal diameter),1,9,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1994,Small plants (<8 cm basal diameter),2,42,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1994,Vegetative (>8 cm basal diameter),3,243,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1994,Flowering,4,14,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1994,Dormant,5,16,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1995,New plants (<2 cm basal diameter),1,41,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1995,Small plants (<8 cm basal diameter),2,29,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1995,Vegetative (>8 cm basal diameter),3,258,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1995,Flowering,4,16,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1995,Dormant,5,10,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1996,New plants (<2 cm basal diameter),1,10,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1996,Small plants (<8 cm basal diameter),2,62,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1996,Vegetative (>8 cm basal diameter),3,409,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1996,Flowering,4,87,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1996,Dormant,5,20,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1997,New plants (<2 cm basal diameter),1,41,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1997,Small plants (<8 cm basal diameter),2,38,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1997,Vegetative (>8 cm basal diameter),3,232,FALSE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1997,Flowering,4,317,TRUE
10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Unburned,1997,Dormant,5,8,FALSE
