DOI.ISBN,MatrixStartYear,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
10.1016/j.actao.2016.01.007,2009,active,S: Seedling (<1 cm plant heigh),1,120
10.1016/j.actao.2016.01.007,2009,active,I: Infant (2-10 c plant heigh),2,40
10.1016/j.actao.2016.01.007,2009,active,J: Juvenile (11-30 cm plant heigh),3,23
10.1016/j.actao.2016.01.007,2009,active,A1: adult 1 (31-50 cm plant heigh),4,15
10.1016/j.actao.2016.01.007,2009,active,A2: adult 2 (>50 cm plant heigh),5,15
10.1016/j.actao.2016.01.007,2010,active,S: Seedling (<1 cm plant heigh),1,120
10.1016/j.actao.2016.01.007,2010,active,I: Infant (2-10 c plant heigh),2,33
10.1016/j.actao.2016.01.007,2010,active,J: Juvenile (11-30 cm plant heigh),3,18
10.1016/j.actao.2016.01.007,2010,active,A1: adult 1 (31-50 cm plant heigh),4,16
10.1016/j.actao.2016.01.007,2010,active,A2: adult 2 (>50 cm plant heigh),5,14
