core_Authors,core_Year,core_Journal,core_DOI,core_Species,matched,match_basis,paper_Authors,paper_Year,paper_Journal,paper_DOI,paper_Species
Eriksson; Eriksson,2000,J Veg Sci,10.2307/3236803,Plantago media,FALSE,unmatched,NA,NA,NA,NA,NA
Kiviniemi,2002,Plant Ecol,NA,Agrimonia eupatoria,FALSE,unmatched,NA,NA,NA,NA,NA
Satterthwaite; Menges; Quintana-Ascencio,2002,Ecol Appl,10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2,Eriogonum longifolium gnaphalifolium,FALSE,unmatched,NA,NA,NA,NA,NA
Crone; Lesica,2004,Ecology,10.1890/03-0256,Astragalus scaphoides,FALSE,unmatched,NA,NA,NA,NA,NA
Crone; Marler; Pearson,2009,J Appl Ecol,10.1111/j.1365-2664.2009.01635.x,Balsamorhiza sagittata,FALSE,unmatched,NA,NA,NA,NA,NA
Auestad; Rydgren; Jongejans; Kroon,2010,Biol Cons,10.1016/j.biocon.2009.12.037,Pimpinella saxifraga,FALSE,unmatched,NA,NA,NA,NA,NA
Evju; Halvorsen; Rydgren; Austrheim; Mysterud,2010,Oecologia,10.1007/s00442-010-1637-x,Viola biflora,FALSE,unmatched,NA,NA,NA,NA,NA
Flores-Martinez; Manzanero-Medino; Golubov; Montaña; Mandujano,2010,Plant Ecol,10.1007/s11258-010-9737-6,Mammillaria huitzilopochtli,FALSE,unmatched,NA,NA,NA,NA,NA
Jacquemyns; Brys; Jongejans,2010,Ecology,10.1890/08-2321.1,Orchis purpurea,TRUE,doi+first_author,Jacquemyns; Brys; Jongejans,2010,Ecology,10.1890/08-2321.1,Orchis_purpurea
Law; Salick; Knight,2010,Plant Ecol,10.1007/s11258-010-9761-6,Saussurea medusa,FALSE,unmatched,NA,NA,NA,NA,NA
Plank,2010,MSc thesis,NA,Trillium persistens,FALSE,unmatched,NA,NA,NA,NA,NA
Portela; Bruna; dos Santos,2010,Biodivers Conserv,10.1007/s10531-010-9846-5,Astrocaryum aculeatissimum,FALSE,unmatched,NA,NA,NA,NA,NA
