Authors,Journal,YearPublication,DOI_ISBN,n_spp,n_pop,n_mat,source
Andrello,PhD thesis,2010,NA,1,8,8,old
Andrello; Bizoux; Barbet-Massin; Gaudeul; Nicolè; Till-Bottraud,Biol Cons,2012,10.1016/j.biocon.2011.12.012,1,8,71,old
Andrieu; Freville; Besnord; Vaudey; Gauthier; Thompson; Debussche,Popul Ecol,2013,10.1007/s10144-012-0346-1,1,3,20,old
Arroyo-Cosultchi; Golubov; Mandujano,Acta Oecol,2016,10.1016/j.actao.2016.01.006,1,1,3,old
Aschero; Morris; Vázquez; Alvarez; Villagra,For Ecol Manag,2016,10.1016/j.foreco.2016.03.028,1,1,1,old
Auestad; Rydgren; Jongejans; Kroon,Biol Cons,2010,10.1016/j.biocon.2009.12.037,1,4,4,old
Baldauf; Correa; Ferreira; Santos,Forest Ecol Manag,2015,10.1016/j.foreco.2015.06.022,1,2,4,old
Bell; Powell; Bowles,J Wild Manag,2013,10.1002/jwmg.525,1,1,9,old
Bermingham,Plant Ecol,2010,10.1007/s11258-010-9762-5,1,4,13,old
Bravo Espinoza,PhD thesis,2011,NA,1,1,1,old
Bullock; White; Prudhomme; Tansey; Perea; Hooftman,J Ecol,2011,10.1111/j.1365-2745.2011.01910.x,1,1,1,old
Burns; Pardini; Schutzenhofer; Chung; Seidler; Knight,Ecology,2013,10.1890/12-1310.1,8,8,8,old
Carrillo Angeles,PhD thesis,2011,NA,1,4,4,old
Csergő; Molnár; Garcia,Popul Ecol,2011,10.1007/s10144-010-0249-y,1,5,19,old
Dangremond; Knight,Ecology,2010,10.1890/09-0418.1,1,4,13,old
Dias Segura,MSc thesis,2013,NA,1,1,3,old
Dominguez Lozano; Moreno Saiz; Schwartz,J Nat Cons,2011,10.1016/j.jnc.2011.05.005,1,2,10,old
Dostálek; Münzbergova,Folia Geobot,2013,NA,1,6,24,old
Ellis,Ecology,2012,10.1890/11-1052.1,1,4,19,old
Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; Den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley,Ecology,2012,10.1890/11-1052.1,2,5,40,old
Evans; Davis; Raghu; Ragavendran; Landis; Schemske,Ecol Appl,2012,10.1890/11-1291.1,1,13,49,old
Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Oecologia,2010,10.1007/s00442-010-1637-x,1,1,6,old
Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Plant Ecol,2011,10.1007/s11258-011-9906-2,1,1,18,old
Ferrer; Duran; Méndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,NA,1,9,33,old
Flores-Martinez; Manzanero-Medino; Golubov; Montaña; Mandujano,Plant Ecol,2010,10.1007/s11258-010-9737-6,1,1,6,old
Gaoue; Ticktin,Cons Biol,2010,10.1111/j.1523-1739.2009.01345.x,1,7,21,old
García; Goñi; Guzman,Cons Biol,2010,10.1111/j.1523-1739.2010.01466.x,1,2,17,old
Gibert; Magda; Hazard,PLoS ONE,2015,10.1371/journal.pone.0139919,1,2,2,old
Gornish,PhD thesis,2013,NA,1,1,3,old
Groenendijk; Eshete; Sterck; Zuidema; Bongers,J Appl Ecol,2012,10.1111/j.1365-2664.2011.02078.x,1,1,1,old
Haridas; Keeler; Tenhumberg,Ecology,2015,10.1890/13-1984.1,1,6,33,old
Jacquemyns; Brys; Jongejans,Ecology,2010,10.1890/08-2321.1,1,7,43,old
Jakalaniemi,Env and Exp Bot,2011,10.1016/j.envexpbot.2011.03.013,1,1,1,old
Jolls; Marik; Hamze; Havens,Biol Cons,2015,10.1016/j.biocon.2015.04.006,1,1,16,old
Jongejans; Jorritsma-Wienk; Becker; Dostál; Mildén,J Ecol,2010,10.1111/j.1365-2745.2009.01612.x,1,5,13,old
Law; Salick; Knight,Plant Ecol,2010,10.1007/s11258-010-9761-6,1,1,1,old
Lemke; Salguero-Gomez,Popul Ecol,2015,10.1007/s10144-015-0519-9,1,15,42,old
Lin; Miriti; Goodell,Ecol Evol,2016,10.1002/ece3.2163,1,4,13,old
Loayza; Knight,Ecology,2010,10.1890/09-0480.1,1,4,4,old
Lopez Flores,MSc thesis,2012,NA,1,3,3,old
Lázaro-Zermeño; González-Espinosa; Mendoza; Martinez-Ramos; Quintana-Ascencio,Forest Ecol Manag,2011,10.1016/j.foreco.2010.10.028,1,3,11,old
López-Mata,Acta Oeco,2013,10.1016/j.actao.2013.02.010,1,1,1,old
Maines; Knochel; Seastedt,Ecosphere,2013,10.1890/ES13-00094.1,1,1,1,old
Maloney; Vogler; Eckert; Jensen; Neale,Forest Ecol Manag,2011,10.1016/j.foreco.2011.05.011,1,11,11,old
Mandujano; Bravo; Verhulst; Carrillo-Angeles; Golubov,Acta Oeco,2015,10.1016/j.actao.2014.12.004,1,1,3,old
Martin; Meinke,Popul Ecol,2012,10.1007/s10144-012-0318-5,1,3,12,old
Matlaga; Davis,J Appl Ecol,2013,10.1111/1365-2664.12057,1,1,2,old
Mayberry; Elle,Oecologia,2010,10.1007/s00442-010-1809-8,1,3,7,old
Morales-Romero; Godinez-Alvarez; Campo-Alves; Molino-Freaner,J Arid Env,2012,10.1016/j.jaridenv.2011.09.005,1,1,3,old
Münzbergová,Plant Biology,2013,10.1111/plb.12007,2,8,26,old
Münzbergová; Hadincová; Wild; Kindlmannová,PLoS ONE,2013,10.1371/journal.pone.0056953,1,1,4,old
Navarro; Galeano; Bernal,Trop Cons Sci,2011,NA,1,1,1,old
Noel; Maurice; Mignot; Glémin; Carbonell; Justy; Guyot; Olivieri; Petit,Cons Genet,2010,10.1007/s10592-010-0056-1,1,5,41,old
Norghauer; Newbery,Ecol Monog,2011,10.1890/10-2268.1,2,2,2,old
Osunkoya; Perrett; Fernando; Clark; Raghu,Popul Ecol,2013,10.1007/s10144-013-0364-7,1,2,4,old
Pfingsten,PhD thesis,2013,NA,1,5,45,old
Picard; Mortier; Chagneau,Ecol Model,2010,10.1016/j.ecolmodel.2010.06.010,1,1,1,old
Pisanu; Farris; Filigheddu; Begona Garcia,Plant Ecol,2012,10.1007/s11258-012-0110-9,1,4,4,old
